P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EV_A,EV_B,EV_diff,SD_A,SD_B,SD_diff,skew_A,skew_B,skew_diff,skew_level,ev_level,sd_level,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D
0.82,131,0.18,96,0.15,163,0.85,142,124.7,145.15,-20.45,13.44656089860898,7.498499849969992,5.95,-1.6658534601451112,1.9603921176395465,-3.6262455777846574,left_vs_right,-20,5,124.7,13.446560898608984,-1.6658534601451112,140,0.24,131,0.09,126,0.35,121,0.19,112,0.03,100,0.04,82,0.06,124.76,14.197971686124747,-1.5717856892861697,145.15,7.498499849969992,1.9603921176395465,173,0.05,151,0.21,147,0.19,145,0.03,143,0.04,141,0.2,137,0.28,144.92,8.294190738100976,1.7604862248046516,-20.450000000000017,5.948061048638991,-3.6262455777846574,-20.159999999999997,5.903780948023771,-3.3322719140908212
0.84,96,0.16,43,0.14,132,0.86,103,87.52,107.06,-19.54,19.430120946612764,10.062623912280534,9.37,-1.8548520670059292,2.075005503735239,-3.929857570741168,left_vs_right,-20,10,87.52,19.430120946612764,-1.8548520670059292,107,0.27,94,0.28,86,0.24,75,0.08,61,0.04,43,0.07,14,0.02,87.58000000000001,20.057008750060415,-1.614760850178757,107.06,10.062623912280534,2.075005503735239,155,0.02,129,0.07,117,0.05,109,0.23,107,0.2,104,0.18,96,0.25,107.17,10.849935483679154,2.04451275672189,-19.540000000000006,9.36749703433223,-3.929857570741168,-19.58999999999999,9.20707326638126,-3.659273606900647
0.85,100,0.15,40,0.12,127,0.88,109,91.0,111.16,-20.16,21.42428528562855,5.849307651337892,15.57,-1.9603921176392132,2.3387383286072465,-4.29913044624646,left_vs_right,-20,15,91.0,21.42428528562855,-1.9603921176392136,110,0.33,97,0.23,89,0.22,78,0.11,63,0.03,45,0.02,23,0.06,90.94,22.13947605522768,-1.7797269729646956,111.16,5.849307651337892,2.3387383286072465,144,0.02,121,0.11,115,0.17,113,0.05,111,0.1,109,0.27,105,0.28,111.32,6.837952910045521,2.2908969691577834,-20.159999999999997,15.574977634290658,-4.29913044624646,-20.379999999999995,15.30152314518216,-4.070623942122479
0.85,157,0.15,126,0.17,173,0.83,159,152.35,161.38,-9.03,11.069214064241416,5.258859191878026,5.81,-1.9603921176392087,1.7570350646143316,-3.71742718225354,left_vs_right,-10,5,152.35,11.069214064241416,-1.960392117639209,165,0.22,156,0.29,153,0.2,150,0.15,142,0.05,131,0.03,115,0.06,152.57,11.9442496624945,-1.8252360256071425,161.38,5.258859191878026,1.7570350646143311,181,0.06,167,0.11,164,0.07,162,0.25,160,0.19,158,0.08,155,0.2400000000000002,161.45000000000005,6.179603547154138,1.6953115906039111,-9.03,5.810354872363391,-3.71742718225354,-8.880000000000052,5.764646115340363,-3.520547616211054
0.85,92,0.15,40,0.2,111,0.8,90,84.2,94.2,-10.0,18.56771391421141,8.4,10.17,-1.96039211763922,1.500000000000015,-3.4603921176392354,left_vs_right,-10,10,84.2,18.56771391421141,-1.96039211763922,102,0.32,90,0.21,83,0.14,75,0.23,58,0.04,38,0.03,12,0.0299999999999999,84.22999999999999,19.390644651480763,-1.8291781864617775,94.2,8.4,1.500000000000015,130,0.03,105,0.12,96,0.26,94,0.15,92,0.24,88,0.09,78,0.11,94.14,9.315599819657349,1.3026899244887886,-10.0,10.16771391421141,-3.460392117639235,-9.91000000000001,10.075044831823416,-3.131868110950566
0.85,114,0.15,49,0.2,131,0.8,110,104.25,114.2,-9.95,23.209642392764263,8.4,14.81,-1.960392117639192,1.500000000000015,-3.4603921176392074,left_vs_right,-10,15,104.25,23.209642392764263,-1.960392117639192,125,0.31,110,0.29,100,0.23,86,0.06,69,0.05,47,0.02,23,0.04,104.12,23.641607390361596,-1.8720858869092325,114.2,8.4,1.500000000000015,146,0.04,125,0.15,119,0.06,115,0.14,113,0.19,111,0.18,104,0.24,114.24,9.300666642773516,1.5048096015893055,-9.950000000000015,14.809642392764262,-3.4603921176392074,-10.120000000000005,14.34094074758808,-3.376895488498538
0.82,167,0.18,127,0.16,184,0.84,155,159.79999999999998,159.64,0.16,15.367498169838836,10.63157561229755,4.74,-1.665853460145174,1.854852067005858,-3.520705527151032,left_vs_right,0,5,159.8,15.367498169838838,-1.6658534601451742,178,0.22,165,0.31,160,0.13,154,0.12,145,0.16,124,0.04,96,0.02,159.67,15.90600829875302,-1.5164966849303676,159.64,10.63157561229755,1.8548520670058577,200,0.04,181,0.03,165,0.32,162,0.02,159,0.12,156,0.17,148,0.3,159.47,11.448541391810574,1.7041342959702122,0.160000000000025,4.735922557541288,-3.5207055271510317,0.1999999999999886,4.457466906942447,-3.22063098090058
0.83,104,0.17,57,0.14,115,0.86,93,96.01,96.08,-0.07,17.65474157273337,7.633714692074888,10.02,-1.7570350646144954,2.075005503735315,-3.83204056834981,left_vs_right,0,10,96.01,17.65474157273337,-1.7570350646144952,123,0.13,105,0.24,97,0.31,88,0.2,72,0.08,48,0.02,20,0.0200000000000001,95.98,18.30299429055259,-1.5404919739429763,96.08,7.633714692074888,2.0750055037353143,134,0.02,106,0.17,98,0.21,96,0.11,94,0.1,92,0.19,86,0.2,95.92,8.375774591045296,1.8260964687091292,-0.0700000000000216,10.021026880658482,-3.8320405683498096,0.059999999999988,9.927219699507294,-3.3665884426521053
0.85,190,0.15,138,0.12,193,0.88,180,182.2,181.56,0.64,18.56771391421141,4.224499970410699,14.34,-1.9603921176391943,2.3387383286083225,-4.299130446247517,left_vs_right,0,15,182.2,18.56771391421141,-1.960392117639195,200,0.2,193,0.18,187,0.24,180,0.17,167,0.11,148,0.04,124,0.06,181.95,19.133413182179492,-1.7361111928216422,181.56,4.2244999704107,2.338738328608322,200,0.03,189,0.07,185,0.04,183,0.12,181,0.33,179,0.16,177,0.2499999999999999,181.21,4.585400745845449,2.225802045663261,0.6399999999999864,14.34321394380071,-4.299130446247517,0.7400000000000091,14.548012436334044,-3.961913238484903
0.88,136,0.12,101,0.1,144,0.9,120,131.8,122.4,9.4,11.373653766490344,7.2,4.17,-2.338738328607408,2.6666666666667935,-5.005404995274201,left_vs_right,10,5,131.8,11.373653766490344,-2.3387383286074077,146,0.18,136,0.25,133,0.15,130,0.24,123,0.12,106,0.02,85,0.04,131.71,12.325011156181564,-2.110617998813119,122.4,7.2,2.6666666666667935,163,0.02,140,0.04,127,0.23,124,0.16,122,0.13,120,0.06,116,0.3599999999999997,122.72999999999996,8.10167266680159,2.669114346314376,9.400000000000006,4.173653766490344,-5.005404995274201,8.980000000000047,4.223338489379975,-4.779732345127495
