P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EV_A,EV_B,EV_diff,SD_A,SD_B,SD_diff,skew_A,skew_B,skew_diff,skew_level,ev_level,sd_level,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D
0.8,71,0.2,45,0.19,95,0.81,83,65.8,85.28,-19.48,10.4,4.707610859023927,5.69,-1.500000000000025,1.580419499997164,-3.0804194999971894,left_vs_right,-20,5,65.80000000000001,10.4,-1.500000000000025,81,0.16,71,0.17,68,0.12,66,0.23,62,0.21,51,0.03,35,0.0799999999999999,65.72,11.297858204102226,-1.2679763197475025,85.28,4.707610859023927,1.5804194999971644,106,0.04,90,0.16,88,0.14,86,0.07,84,0.26,82,0.1,79,0.2299999999999999,85.19000000000001,5.6898066750989,1.7545486201761404,-19.47999999999999,5.692389140976073,-3.0804194999971894,-19.470000000000013,5.608051529003326,-3.0225249399236427
0.86,110,0.14,61,0.19,140,0.81,120,103.14,123.8,-20.66,17.002364541439526,7.846018098373213,9.16,-2.075005503735238,1.580419499997289,-3.655425003732527,left_vs_right,-20,10,103.14,17.002364541439526,-2.0750055037352384,120,0.26,108,0.28,102,0.2,95,0.15,82,0.04,65,0.02,44,0.05,102.87,17.67747436711478,-1.878966094730708,123.8,7.846018098373213,1.5804194999972887,154,0.04,131,0.24,127,0.06,124,0.2,122,0.11,120,0.07,114,0.28,123.76,8.820566875207057,1.361888816679952,-20.66000000000001,9.156346443066314,-3.6554250037325273,-20.89,8.856907491907723,-3.2408549114106595
0.86,104,0.14,44,0.13,132,0.87,114,95.6,116.34,-20.74,20.819221887476967,6.053461819488086,14.77,-2.075005503735228,2.2003938237651064,-4.275399327500335,left_vs_right,-20,15,95.6,20.819221887476967,-2.075005503735228,115,0.28,101,0.37,91,0.18,79,0.05,64,0.06,43,0.03,17,0.0299999999999997,95.54,21.494380661000648,-1.90192946121308,116.34,6.053461819488086,2.2003938237651064,150,0.02,124,0.16,119,0.05,117,0.22,115,0.25,113,0.11,108,0.1899999999999999,116.23,6.883102498147184,2.2580938142019296,-20.739999999999995,14.765760067988882,-4.275399327500335,-20.690000000000012,14.611278162853464,-4.16002327541501
0.86,171,0.14,136,0.13,193,0.87,174,166.1,176.47,-10.37,12.144546101028231,6.3897652539040894,5.75,-2.0750055037352877,2.2003938237652747,-4.275399327500562,left_vs_right,-10,5,166.1,12.144546101028231,-2.0750055037352872,178,0.3,171,0.09,167,0.22,164,0.13,158,0.19,141,0.03,119,0.04,165.86,12.862363701901762,-1.9364286701210185,176.47,6.3897652539040894,2.2003938237652747,200,0.06,186,0.05,179,0.12,177,0.28,175,0.04,173,0.19,170,0.26,176.41000000000005,7.201520672746834,2.0289218180233353,-10.370000000000005,5.754780847124142,-4.275399327500562,-10.55000000000004,5.660843029154928,-3.9653504881443538
0.8,174,0.2,133,0.19,191,0.81,173,165.8,176.42,-10.62,16.400000000000002,7.0614162885358915,9.34,-1.5000000000000095,1.5804194999970074,-3.080419499997017,left_vs_right,-10,10,165.8,16.400000000000002,-1.5000000000000095,184,0.27,173,0.16,166,0.28,160,0.06,153,0.14,137,0.02,118,0.07,165.86,17.297988322345464,-1.3127282728935974,176.42,7.0614162885358915,1.5804194999970076,199,0.07,184,0.09,179,0.13,177,0.11,175,0.21,173,0.23,166,0.16,176.33,7.889302884285785,1.3712058007081174,-10.619999999999976,9.33858371146411,-3.080419499997017,-10.47,9.40868543805968,-2.6839340736017148
0.8,128,0.2,50,0.18,158,0.82,115,112.4,122.74,-10.34,31.2,16.52006053257675,14.68,-1.5000000000000036,1.6658534601451225,-3.165853460145126,left_vs_right,-10,15,112.4,31.2,-1.5000000000000038,146,0.23,124,0.36,108,0.14,91,0.16,68,0.03,44,0.04,16,0.0399999999999999,112.34000000000002,31.655716703306528,-1.3673014232265683,122.74,16.52006053257675,1.6658534601451225,179,0.04,156,0.05,140,0.07,130,0.12,123,0.2,117,0.27,105,0.25,122.8,17.224401295836092,1.5397353338744844,-10.33999999999999,14.67993946742325,-3.1658534601451263,-10.459999999999994,14.431315407470436,-2.9070367571010527
0.8,76,0.2,30,0.19,96,0.81,61,66.8,67.65,-0.85,18.4,13.730531672153122,4.67,-1.500000000000011,1.5804194999972117,-3.080419499997223,left_vs_right,0,5,66.80000000000001,18.4,-1.5000000000000109,87,0.26,74,0.16,67,0.33,58,0.13,46,0.03,31,0.02,13,0.07,67.02,19.121704944904888,-1.461064936334419,67.65,13.730531672153122,1.5804194999972117,112,0.06,95,0.02,82,0.04,72,0.23,67,0.33,61,0.08,51,0.2400000000000002,67.69000000000001,14.689244364500173,1.4585608149078286,-0.8499999999999943,4.669468327846877,-3.0804194999972223,-0.6700000000000159,4.432460580404717,-2.919625751242248
0.83,104,0.17,57,0.14,115,0.86,93,96.01,96.08,-0.07,17.65474157273337,7.633714692074888,10.02,-1.7570350646144954,2.075005503735315,-3.83204056834981,left_vs_right,0,10,96.01,17.65474157273337,-1.7570350646144952,123,0.13,105,0.24,97,0.31,88,0.2,72,0.08,48,0.02,20,0.0200000000000001,95.98,18.30299429055259,-1.5404919739429763,96.08,7.633714692074888,2.0750055037353143,134,0.02,106,0.17,98,0.21,96,0.11,94,0.1,92,0.19,86,0.2,95.92,8.375774591045296,1.8260964687091292,-0.0700000000000216,10.021026880658482,-3.8320405683498096,0.059999999999988,9.927219699507294,-3.3665884426521053
0.85,190,0.15,138,0.12,193,0.88,180,182.2,181.56,0.64,18.56771391421141,4.224499970410699,14.34,-1.9603921176391943,2.3387383286083225,-4.299130446247517,left_vs_right,0,15,182.2,18.56771391421141,-1.960392117639195,200,0.2,193,0.18,187,0.24,180,0.17,167,0.11,148,0.04,124,0.06,181.95,19.133413182179492,-1.7361111928216422,181.56,4.2244999704107,2.338738328608322,200,0.03,189,0.07,185,0.04,183,0.12,181,0.33,179,0.16,177,0.2499999999999999,181.21,4.585400745845449,2.225802045663261,0.6399999999999864,14.34321394380071,-4.299130446247517,0.7400000000000091,14.548012436334044,-3.961913238484903
0.84,174,0.16,146,0.18,170,0.82,156,169.51999999999998,158.51999999999998,11.0,10.264969556701082,5.3786243594435925,4.89,-1.8548520670056896,1.6658534601445576,-3.520705527150247,left_vs_right,10,5,169.51999999999998,10.264969556701082,-1.8548520670056896,180,0.31,174,0.11,170,0.2,168,0.03,165,0.26,152,0.02,136,0.0699999999999999,169.44,11.245728077808035,-1.6671140392935797,158.51999999999998,5.3786243594435925,1.6658534601445574,188,0.02,164,0.21,161,0.13,159,0.12,157,0.28,155,0.05,150,0.19,158.42,6.289960254246445,1.768734722969767,11.0,4.88634519725749,-3.520705527150247,11.02000000000001,4.95576782356159,-3.4358487622633467
