P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EV_A,EV_B,EV_diff,SD_A,SD_B,SD_diff,skew_A,skew_B,skew_diff,skew_level,ev_level,sd_level,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D,combined
0.8,46,0.2,20,0.19,70,0.81,58,40.800000000000004,60.28,-19.479999999999997,10.399999999999993,4.707610859023918,5.692389140976076,-1.5000000000000042,1.5804194999972128,-3.080419499997217,left_vs_right,-20,5,65.80000000000001,10.4,-1.500000000000025,56,0.16,46,0.17,43,0.12,41,0.23,37,0.21,26,0.03,10,0.0799999999999999,65.72,11.297858204102226,-1.2679763197475025,60.28,4.707610859023918,1.5804194999972128,81,0.04,65,0.16,63,0.14,61,0.07,59,0.26,57,0.1,54,0.2299999999999999,85.19000000000001,5.6898066750989,1.7545486201761404,-19.47999999999999,5.692389140976073,-3.080419499997217,-19.470000000000013,5.608051529003326,-3.0225249399236427,"(0.8, 71.0, 0.2, 45.0, 0.19, 95.0, 0.81, 83.0)"
0.86,85,0.14,36,0.19,115,0.81,95,78.14,98.80000000000001,-20.66000000000001,17.00236454143952,7.846018098373064,9.156346443066454,-2.075005503735248,1.580419499997289,-3.655425003732537,left_vs_right,-20,10,103.14,17.002364541439526,-2.0750055037352384,95,0.26,83,0.28,77,0.2,70,0.15,57,0.04,40,0.02,19,0.05,102.87,17.67747436711478,-1.878966094730708,98.80000000000001,7.846018098373064,1.580419499997289,129,0.04,106,0.24,102,0.06,99,0.2,97,0.11,95,0.07,89,0.28,123.76,8.820566875207057,1.361888816679952,-20.66000000000001,9.156346443066314,-3.655425003732537,-20.89,8.856907491907723,-3.2408549114106595,"(0.86, 110.0, 0.14, 61.0, 0.19, 140.0, 0.81, 120.0)"
0.86,104,0.14,44,0.13,132,0.87,114,95.6,116.33999999999999,-20.739999999999995,20.819221887477024,6.053461819488171,14.765760067988854,-2.075005503735228,2.2003938237651064,-4.275399327500335,left_vs_right,-20,15,95.6,20.819221887476967,-2.075005503735228,115,0.28,101,0.37,91,0.18,79,0.05,64,0.06,43,0.03,17,0.0299999999999997,95.54,21.494380661000648,-1.90192946121308,116.33999999999999,6.053461819488171,2.2003938237651064,150,0.02,124,0.16,119,0.05,117,0.22,115,0.25,113,0.11,108,0.1899999999999999,116.23,6.883102498147184,2.2580938142019296,-20.739999999999995,14.765760067988882,-4.275399327500335,-20.690000000000012,14.611278162853464,-4.16002327541501,"(0.86, 104.0, 0.14, 44.0, 0.13, 132.0, 0.87, 114.0)"
0.86,146,0.14,111,0.13,168,0.87,149,141.1,151.47,-10.370000000000005,12.144546101028148,6.389765253904013,5.754780847124135,-2.0750055037352877,2.2003938237652747,-4.275399327500562,left_vs_right,-10,5,166.1,12.144546101028231,-2.0750055037352872,153,0.3,146,0.09,142,0.22,139,0.13,133,0.19,116,0.03,94,0.04,165.86,12.862363701901762,-1.9364286701210185,151.47,6.389765253904013,2.2003938237652747,175,0.06,161,0.05,154,0.12,152,0.28,150,0.04,148,0.19,145,0.26,176.41000000000005,7.201520672746834,2.0289218180233353,-10.370000000000005,5.754780847124142,-4.275399327500562,-10.55000000000004,5.660843029154928,-3.9653504881443538,"(0.86, 171.0, 0.14, 136.0, 0.13, 193.0, 0.87, 174.0)"
0.8,149,0.2,108,0.19,166,0.81,148,140.8,151.42000000000002,-10.620000000000005,16.399999999999864,7.061416288535675,9.338583711464189,-1.50000000000004,1.5804194999973413,-3.0804194999973813,left_vs_right,-10,10,165.8,16.400000000000002,-1.5000000000000095,159,0.27,148,0.16,141,0.28,135,0.06,128,0.14,112,0.02,93,0.07,165.86,17.297988322345464,-1.3127282728935974,151.42000000000002,7.061416288535675,1.5804194999973413,174,0.07,159,0.09,154,0.13,152,0.11,150,0.21,148,0.23,141,0.16,176.33,7.889302884285785,1.3712058007081174,-10.619999999999976,9.33858371146411,-3.0804194999973813,-10.47,9.40868543805968,-2.6839340736017148,"(0.8, 174.0, 0.2, 133.0, 0.19, 191.0, 0.81, 173.0)"
0.8,128,0.2,50,0.18,158,0.82,115,112.4,122.74,-10.33999999999999,31.199999999999978,16.52006053257678,14.679939467423196,-1.5000000000000036,1.6658534601451225,-3.165853460145126,left_vs_right,-10,15,112.4,31.2,-1.5000000000000038,146,0.23,124,0.36,108,0.14,91,0.16,68,0.03,44,0.04,16,0.0399999999999999,112.34000000000002,31.655716703306528,-1.3673014232265683,122.74,16.52006053257678,1.6658534601451225,179,0.04,156,0.05,140,0.07,130,0.12,123,0.2,117,0.27,105,0.25,122.8,17.224401295836092,1.5397353338744844,-10.33999999999999,14.67993946742325,-3.165853460145126,-10.459999999999994,14.431315407470436,-2.9070367571010527,"(0.8, 128.0, 0.2, 50.0, 0.18, 158.0, 0.82, 115.0)"
0.8,76,0.2,30,0.19,96,0.81,61,66.80000000000001,67.65,-0.8499999999999943,18.399999999999963,13.730531672153093,4.66946832784687,-1.5000000000000113,1.5804194999972117,-3.080419499997223,left_vs_right,0,5,66.80000000000001,18.4,-1.5000000000000109,87,0.26,74,0.16,67,0.33,58,0.13,46,0.03,31,0.02,13,0.07,67.02,19.121704944904888,-1.461064936334419,67.65,13.730531672153093,1.5804194999972117,112,0.06,95,0.02,82,0.04,72,0.23,67,0.33,61,0.08,51,0.2400000000000002,67.69000000000001,14.689244364500173,1.4585608149078286,-0.8499999999999943,4.669468327846877,-3.080419499997223,-0.6700000000000159,4.432460580404717,-2.919625751242248,"(0.8, 76.0, 0.2, 30.0, 0.19, 96.0, 0.81, 61.0)"
0.83,104,0.17,57,0.14,115,0.86,93,96.00999999999999,96.08000000000001,-0.0700000000000216,17.654741572733407,7.633714692074798,10.02102688065861,-1.7570350646144954,2.075005503735315,-3.83204056834981,left_vs_right,0,10,96.01,17.65474157273337,-1.7570350646144952,123,0.13,105,0.24,97,0.31,88,0.2,72,0.08,48,0.02,20,0.0200000000000001,95.98,18.30299429055259,-1.5404919739429763,96.08000000000001,7.633714692074798,2.075005503735315,134,0.02,106,0.17,98,0.21,96,0.11,94,0.1,92,0.19,86,0.2,95.92,8.375774591045296,1.8260964687091292,-0.0700000000000216,10.021026880658482,-3.83204056834981,0.059999999999988,9.927219699507294,-3.3665884426521053,"(0.83, 104.0, 0.17, 57.0, 0.14, 115.0, 0.86, 93.0)"
0.85,165,0.15,113,0.12,168,0.88,155,157.2,156.56,0.6399999999999864,18.567713914211463,4.224499970410527,14.343213943800937,-1.9603921176391945,2.3387383286076076,-4.299130446246802,left_vs_right,0,15,182.2,18.56771391421141,-1.960392117639195,175,0.2,168,0.18,162,0.24,155,0.17,142,0.11,123,0.04,99,0.06,181.95,19.133413182179492,-1.7361111928216422,156.56,4.224499970410527,2.3387383286076076,175,0.03,164,0.07,160,0.04,158,0.12,156,0.33,154,0.16,152,0.2499999999999999,181.21,4.585400745845449,2.225802045663261,0.6399999999999864,14.34321394380071,-4.299130446246802,0.7400000000000091,14.548012436334044,-3.961913238484903,"(0.85, 190.0, 0.15, 138.0, 0.12, 193.0, 0.88, 180.0)"
0.84,149,0.16,121,0.18,145,0.82,131,144.51999999999998,133.51999999999998,11.0,10.264969556701347,5.378624359443883,4.886345197257464,-1.8548520670057858,1.665853460144872,-3.5207055271506578,left_vs_right,10,5,169.51999999999998,10.264969556701082,-1.8548520670056896,155,0.31,149,0.11,145,0.2,143,0.03,140,0.26,127,0.02,111,0.0699999999999999,169.44,11.245728077808035,-1.6671140392935797,133.51999999999998,5.378624359443883,1.665853460144872,163,0.02,139,0.21,136,0.13,134,0.12,132,0.28,130,0.05,125,0.19,158.42,6.289960254246445,1.768734722969767,11.0,4.88634519725749,-3.5207055271506578,11.02000000000001,4.95576782356159,-3.4358487622633467,"(0.84, 174.0, 0.16, 146.0, 0.18, 170.0, 0.82, 156.0)"
