P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EV_A,EV_B,EV_diff,SD_A,SD_B,SD_diff,skew_A,skew_B,skew_diff,skew_level,ev_level,sd_level,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D
0.07,48,0.93,96,0.93,111,0.07,140,92.64,113.03,-20.39,12.247056789286152,7.3992634768603835,4.85,-3.370605747179287,3.3706057471792845,-6.741211494358572,left_vs_right,-20,5,92.64,12.247056789286152,-3.370605747179287,,,,,,,,,,,,,,,,,,113.03,7.3992634768603835,3.3706057471792845,,,,,,,,,,,,,,,,,,-20.39,4.847793312425768,-6.741211494358572,,,
0.11,86,0.89,128,0.89,140,0.11,166,123.38,142.86,-19.48,13.141369791616093,8.135133680524248,5.01,-2.492890811192292,2.492890811192451,-4.985781622384743,left_vs_right,-20,5,123.38,13.141369791616093,-2.492890811192292,,,,,,,,,,,,,,,,,,142.86,8.135133680524248,2.4928908111924515,181,0.03,159,0.06,146,0.22,144,0.18,142,0.04,140,0.14,135,0.33,142.84,9.123288880661402,2.3245758680304496,-19.480000000000018,5.0062361110918445,-4.985781622384744,,,
0.07,9,0.93,86,0.92,97,0.08,148,80.61,101.08000000000001,-20.47,19.646320266146535,13.835953165575548,5.81,-3.3706057471793582,3.096281079252874,-6.466886826432232,left_vs_right,-20,5,80.61,19.646320266146535,-3.3706057471793582,,,,,,,,,,,,,,,,,,101.08000000000001,13.835953165575548,3.0962810792528734,,,,,,,,,,,,,,,,,,-20.470000000000013,5.810367100570987,-6.466886826432232,,,
0.07,48,0.93,130,0.92,140,0.08,195,124.26,144.4,-20.14,20.92205534836384,14.921125962875589,6.0,-3.3706057471793813,3.0962810792528503,-6.466886826432232,left_vs_right,-20,5,124.26,20.92205534836384,-3.3706057471793813,,,,,,,,,,,,,,,,,,144.4,14.921125962875589,3.09628107925285,,,,,,,,,,,,,,,,,,-20.14,6.000929385488252,-6.466886826432232,,,
0.13,128,0.87,156,0.86,171,0.14,183,152.36,172.68,-20.32,9.416496163648132,4.163844377495393,5.25,-2.2003938237653693,2.075005503736086,-4.2753993275014555,left_vs_right,-20,5,152.36,9.416496163648132,-2.200393823765369,163,0.22,156,0.21,153,0.2,151,0.13,148,0.15,135,0.04,117,0.05,152.29999999999998,10.267911179982033,-1.9753934202613934,172.68,4.163844377495393,2.075005503736087,,,,,,,,,,,,,,,,,,-20.319999999999993,5.252651786152739,-4.2753993275014555,,,
0.13,81,0.87,130,0.87,139,0.13,174,123.63,143.54999999999998,-19.92,16.478868286384234,11.770620204560165,4.71,-2.2003938237651814,2.200393823765012,-4.400787647530193,left_vs_right,-20,5,123.63,16.478868286384234,-2.2003938237651814,,,,,,,,,,,,,,,,,,143.54999999999998,11.770620204560165,2.2003938237650122,191,0.04,170,0.02,152,0.14,145,0.27,142,0.1,139,0.26,128,0.1699999999999999,143.57,12.702169106101525,1.9785888054162548,-19.919999999999987,4.708248081824069,-4.400787647530194,,,
0.1,6,0.9,108,0.89,110,0.11,189,97.8,118.69,-20.89,30.6,24.718290798515984,5.88,-2.6666666666666643,2.492890811192317,-5.159557477858981,left_vs_right,-20,5,97.8,30.6,-2.6666666666666647,,,,,,,,,,,,,,,,,,118.69,24.718290798515984,2.492890811192317,,,,,,,,,,,,,,,,,,-20.89,5.881709201484018,-5.159557477858982,,,
0.05,121,0.95,156,0.94,174,0.06,184,154.25,174.6,-20.35,7.628073151196179,2.3748684174075834,5.25,-4.129483209670112,3.705468452689679,-7.83495166235979,left_vs_right,-20,5,154.25,7.628073151196179,-4.129483209670112,,,,,,,,,,,,,,,,,,174.6,2.3748684174075834,3.705468452689679,,,,,,,,,,,,,,,,,,-20.349999999999994,5.253204733788595,-7.83495166235979,,,
0.13,38,0.87,95,0.87,103,0.13,146,87.59,108.59,-21.0,19.16929576171227,14.461047679888203,4.71,-2.200393823765201,2.200393823765221,-4.4007876475304215,left_vs_right,-20,5,87.59,19.16929576171227,-2.200393823765201,,,,,,,,,,,,,,,,,,108.59,14.461047679888203,2.2003938237652205,175,0.02,147,0.03,126,0.08,113,0.26,108,0.23,102,0.13,93,0.25,108.72000000000001,15.10766692775559,2.009363949405222,-21.0,4.708248081824067,-4.4007876475304215,,,
0.07,4,0.93,42,0.92,58,0.08,75,39.34,59.36,-20.02,9.695586624851536,4.611984388525182,5.08,-3.3706057471793924,3.0962810792527673,-6.46688682643216,left_vs_right,-20,5,39.34,9.695586624851536,-3.3706057471793915,,,,,,,,,,,,,,,,,,59.36,4.611984388525182,3.0962810792527673,90,0.02,63,0.2,60,0.28,58,0.26,56,0.07,54,0.03,52,0.14,59.1,5.5848008021772815,3.1323393838625444,-20.019999999999996,5.083602236326354,-6.466886826432159,,,
