P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EV_A,EV_B,EV_diff,SD_A,SD_B,SD_diff,skew_A,skew_B,skew_diff,skew_level,ev_level,sd_level,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D
0.54,141,0.46,173,0.48,164,0.52,185,155.72,174.92000000000002,-19.2,15.948717816802704,10.491596637309309,5.46,0.16051447078102216,-0.08006407690255236,0.2405785476835745,no_skew_vs_no_skew,-20,5,155.72,15.948717816802704,0.16051447078102218,191,0.1,175,0.05,163,0.15,156,0.35,150,0.09,140,0.21,116,0.04999999999999999,155.6,16.87424072365924,0.19648219245771142,174.92000000000002,10.491596637309309,-0.08006407690255235,191,0.22,182,0.12,179,0.02,176,0.14,173,0.19,168,0.09,159,0.2200000000000001,175.05,11.142149702817676,-0.006095881364970634,-19.200000000000017,5.457121179493395,0.24057854768357453,-19.450000000000017,5.732091020841565,0.20257807382268206
0.49,50,0.51,100,0.47,75,0.53,115,75.5,96.2,-20.7,24.994999499899976,19.96396754154845,5.03,-0.04000800240080028,-0.12021658495512977,0.08020858255432949,no_skew_vs_no_skew,-20,5,75.5,24.994999499899976,-0.040008002400800276,115,0.15,95,0.18,82,0.19,72,0.08,62,0.14,48,0.21,21,0.05,75.49999999999999,25.383656159032725,-0.13315560524566156,96.2,19.96396754154845,-0.12021658495512978,124,0.22,109,0.2,101,0.03,94,0.16,86,0.02,78,0.31,53,0.05999999999999979,96.23,20.518213859885552,-0.18725513345565717,-20.700000000000003,5.031031958351527,0.0802085825543295,-20.730000000000018,4.865442299147173,0.05409952820999561
0.45,78,0.55,108,0.49,104,0.51,124,94.5,114.2,-19.7,14.9248115565993,9.99799979995999,4.93,-0.20100756305184234,-0.0400080024008017,-0.16099956065104065,no_skew_vs_no_skew,-20,5,94.5,14.9248115565993,-0.2010075630518423,125,0.09,105,0.23,97,0.22,93,0.15,87,0.08,78,0.18,55,0.05,94.44,15.566194139866045,-0.2803682237666229,114.2,9.99799979995999,-0.040008002400801705,131,0.18,120,0.15,117,0.07,114,0.21,112,0.13,106,0.06,98,0.2,114.22999999999999,10.656317375153577,-0.00883940302431498,-19.700000000000003,4.92681175663931,-0.1609995606510406,-19.789999999999992,4.909876764712468,-0.27152882074230794
0.49,31,0.51,63,0.47,60,0.53,74,47.32,67.42,-20.1,15.996799679935984,6.987388639541956,9.01,-0.04000800240080041,-0.12021658495512758,0.08020858255432717,no_skew_vs_no_skew,-20,10,47.32,15.996799679935984,-0.04000800240080041,73,0.19,59,0.14,52,0.07,46,0.08,39,0.37,25,0.13,2,0.02,47.17,16.65836426543735,0.01131792306075506,67.42,6.987388639541956,-0.12021658495512756,80,0.18,71,0.2,69,0.19,67,0.06,65,0.11,61,0.03,56,0.2299999999999998,67.58999999999999,7.96127502351225,-0.0319090734638127,-20.1,9.009411040394028,0.08020858255432715,-20.419999999999987,8.697089241925099,0.04322699652456776
0.45,11,0.55,57,0.48,42,0.52,68,36.300000000000004,55.52,-19.22,22.88471105345226,12.989595836668668,9.9,-0.20100756305184306,-0.08006407690254246,-0.1209434861493006,no_skew_vs_no_skew,-20,10,36.300000000000004,22.88471105345226,-0.20100756305184309,66,0.27,45,0.26,33,0.09,23,0.08,14,0.11,8,0.06,2,0.13000000000000012,36.61,22.99082208186563,-0.10401980924317614,55.519999999999996,12.989595836668668,-0.08006407690254244,75,0.22,65,0.06,59,0.2,56,0.08,52,0.07,47,0.19,34,0.18,55.370000000000005,13.759109709570602,-0.05507498131966248,-19.21999999999999,9.895115216783593,-0.12094348614930064,-18.760000000000005,9.231712372295029,-0.04894482792351366
0.45,46,0.55,88,0.53,79,0.47,101,69.10000000000001,89.34,-20.24,20.89473617923902,10.980182147851647,9.91,-0.20100756305184422,0.1202165849551305,-0.32122414800697474,no_skew_vs_no_skew,-20,10,69.10000000000001,20.89473617923902,-0.20100756305184422,100,0.21,86,0.04,75,0.29,68,0.06,61,0.1,51,0.17,32,0.13,69.19999999999999,21.523940159738412,-0.13942541484920204,89.34,10.980182147851647,0.12021658495513049,106,0.24,98,0.08,93,0.07,90,0.09,88,0.04,84,0.22,74,0.26,89.13,11.877419753464975,0.16826922586339524,-20.239999999999995,9.914554031387372,-0.32122414800697474,-19.930000000000007,9.646520406273437,-0.3076946407125973
0.49,128,0.51,174,0.44,162,0.56,179,151.46,171.52,-20.06,22.99539953990798,8.438578079273782,14.56,-0.04000800240079701,-0.24174688920762633,0.20173888680682933,no_skew_vs_no_skew,-20,15,151.45999999999998,22.995399539907975,-0.040008002400797,187,0.2,172,0.03,160,0.18,151,0.25,141,0.09,130,0.1,112,0.15,151.60000000000002,23.830652529882602,-0.08838381804322311,171.52,8.438578079273782,-0.24174688920762633,185,0.19,176,0.14,173,0.13,171,0.17,169,0.15,164,0.04,156,0.1799999999999999,171.34,9.176295548858482,-0.21800333838820055,-20.06000000000003,14.556821460634193,0.20173888680682933,-19.73999999999998,14.65435698102412,0.12961952034497742
0.46,72,0.54,114,0.52,109,0.48,119,94.68,113.8,-19.12,20.932692134553548,4.995998398718719,15.94,-0.16051447078102707,0.08006407690254073,-0.2405785476835678,no_skew_vs_no_skew,-20,15,94.68,20.932692134553548,-0.16051447078102707,135,0.11,115,0.07,100,0.32,92,0.28,80,0.04,68,0.12,44,0.0599999999999999,94.66,21.608896316100918,-0.23262852197832354,113.8,4.995998398718719,0.08006407690254076,124,0.15,119,0.1,117,0.17,115,0.05,113,0.13,111,0.22,105,0.18,114.15,5.978921307393166,0.06438101393626278,-19.11999999999999,15.93669373583483,-0.24057854768356784,-19.49000000000001,15.629975008707753,-0.29700953591458634
0.45,46,0.55,87,0.51,82,0.49,94,68.55,87.88,-19.33,20.39724246068571,5.998799879975993,14.4,-0.2010075630518415,0.040008002400799526,-0.24101556545264102,no_skew_vs_no_skew,-20,15,68.55,20.39724246068571,-0.20100756305184145,107,0.1,85,0.23,75,0.14,67,0.07,59,0.26,44,0.16,17,0.0399999999999999,68.5,21.03592165796402,-0.13551653616253193,87.88,5.998799879975994,0.04000800240079953,99,0.17,93,0.08,91,0.14,89,0.13,87,0.1,85,0.15,78,0.23,87.97,6.9576648381479265,0.030838495332437613,-19.33,14.398442580709716,-0.24101556545264097,-19.47,14.078256819816094,-0.16635503149496955
0.48,102,0.52,140,0.56,119,0.44,146,121.76,130.88,-9.12,18.98479391513113,13.402447537670124,5.58,-0.08006407690254114,0.24174688920760892,-0.32181096611015003,no_skew_vs_no_skew,-10,5,121.75999999999999,18.984793915131128,-0.08006407690254112,152,0.18,137,0.11,127,0.21,121,0.02,115,0.19,105,0.2,84,0.09000000000000012,121.93000000000002,19.725240175977582,-0.08430995400771481,130.88,13.402447537670126,0.24174688920760898,157,0.13,141,0.16,134,0.18,131,0.05,128,0.12,122,0.21,108,0.15,130.82,14.24456387538769,0.1999549816843688,-9.120000000000005,5.582346377461002,-0.3218109661101501,-8.889999999999972,5.4806763005898915,-0.2842649356920836
