"","Prolific_ID","trial_type_label","test_part","skew","rt_trial","P_A1","O_A1","P_A2","O_A2","P_B1","O_B1","P_B2","O_B2","EVD","SDD","category","true_response"
"1","5c8123c4366cb20001280842","test","cs","rl",2785,0.82,89,0.18,195,0.12,46,0.88,127,-9.20000000000002,14.4019857190524,"simple vs. complex","j"
"2","5c8123c4366cb20001280842","test","sc","lr",2360,0.18,10,0.82,49,0.19,52,0.81,27,10.23,5.17578809262635,"simple vs. complex","f"
"3","5c8123c4366cb20001280842","test","sc","cn",2286,0.82,98,0.18,11,0.12,143,0.88,85,-20,0,"simple vs. complex","f"
"4","5c8123c4366cb20001280842","test","sc","rl",3391,0.87,48,0.13,115,0.17,58,0.83,80,-19.55,14.2684085186354,"simple vs. complex","f"
"5","5c8123c4366cb20001280842","test","sc","lr",1573,0.81,134,0.19,48,0.13,189,0.87,118,-9.56999999999998,9.86033397946848,"simple vs. complex","f"
"6","5c8123c4366cb20001280842","test","cs","ns",1939,0.33,19,0.67,56,0.62,54,0.38,28,-0.329999999999991,4.77782301586088,"simple vs. complex","j"
"7","5c8123c4366cb20001280842","test","sc","ns",2145,0.33,19,0.67,56,0.62,54,0.38,28,-0.329999999999991,4.77782301586088,"simple vs. complex","f"
"8","5c8123c4366cb20001280842","test","cs","lr",1962,0.87,97,0.13,38,0.84,87,0.16,100,0.25,15.0760239077902,"simple vs. complex","j"
"9","5c8123c4366cb20001280842","test","sc","ns",2167,0.44,18,0.56,151,0.65,141,0.35,33,-10.72,14.5067469201563,"simple vs. complex","f"
"10","5c8123c4366cb20001280842","test","cs","ns",2901,0.36,84,0.64,12,0.54,20,0.46,80,-9.68000000000001,4.65615409349493,"simple vs. complex","j"
"11","5c8123c4366cb20001280842","test","sc","rl",2421,0.18,167,0.82,99,0.19,59,0.81,111,10.12,5.72509983295567,"simple vs. complex","f"
"12","5c8123c4366cb20001280842","test","cs","lr",1947,0.87,107,0.13,3,0.17,157,0.83,104,-19.53,15.067018810012,"simple vs. complex","j"
"13","5c8123c4366cb20001280842","test","cs","ns",1996,0.3,43,0.7,75,0.63,63,0.37,43,9.80000000000001,5.00815606020004,"simple vs. complex","j"
"14","5c8123c4366cb20001280842","test","cs","rl",2105,0.83,130,0.17,187,0.96,153,0.04,70,-9.99000000000001,5.14645767485166,"simple vs. complex","j"
"15","5c8123c4366cb20001280842","test","cs","ns",2047,0.37,119,0.63,16,0.45,87,0.55,8,10.56,10.4268399771305,"simple vs. complex","j"
"16","5c8123c4366cb20001280842","test","cs","lr",1986,0.12,2,0.88,77,0.17,69,0.83,43,20.58,14.6056624289915,"simple vs. complex","j"
"17","5c8123c4366cb20001280842","test","sc","rl",2464,0.12,163,0.88,58,0.17,7,0.83,59,20.44,14.5880557296384,"simple vs. complex","f"
"18","5c8123c4366cb20001280842","test","sc","rl",1605,0.83,59,0.17,138,0.86,101,0.14,42,-20.31,9.20275629814984,"simple vs. complex","f"
"19","5c8123c4366cb20001280842","test","cs","cn",2335,0.86,79,0.14,27,0.89,69,0.11,96,-20,0,"simple vs. complex","j"
"20","5c8123c4366cb20001280842","test","sc","rl",2532,0.86,52,0.14,116,0.89,66,0.11,28,-0.859999999999999,10.3173592494656,"simple vs. complex","f"
"21","5c8123c4366cb20001280842","test","sc","cn",2364,0.86,79,0.14,27,0.89,69,0.11,96,-20,0,"simple vs. complex","f"
"22","5c8123c4366cb20001280842","test","cs","lr",2698,0.18,10,0.82,49,0.19,52,0.81,27,10.23,5.17578809262635,"simple vs. complex","j"
"23","5c8123c4366cb20001280842","test","cs","lr",1842,0.83,91,0.17,46,0.07,108,0.93,60,19.99,4.6564191846075,"simple vs. complex","j"
"24","5c8123c4366cb20001280842","test","cs","rl",1989,0.88,93,0.12,192,0.93,100,0.07,31,9.70999999999999,14.5660479477596,"simple vs. complex","j"
"25","5c8123c4366cb20001280842","test","cs","rl",2329,0.83,59,0.17,138,0.86,101,0.14,42,-20.31,9.20275629814984,"simple vs. complex","j"
"26","5c8123c4366cb20001280842","test","cs","lr",2111,0.82,98,0.18,11,0.12,143,0.88,85,-9.61999999999999,14.576539420644,"simple vs. complex","j"
"27","5c8123c4366cb20001280842","test","cs","rl",2233,0.83,115,0.17,197,0.07,17,0.93,116,19.87,5.54233492452575,"simple vs. complex","j"
"28","5c8123c4366cb20001280842","test","sc","cn",2508,0.87,97,0.13,38,0.84,87,0.16,100,20,0,"simple vs. complex","j"
"29","5c8123c4366cb20001280842","test","cs","rl",2830,0.18,170,0.82,94,0.12,38,0.88,95,19.52,10.6754389601238,"simple vs. complex","j"
"30","5c8123c4366cb20001280842","test","sc","ns",2747,0.53,189,0.47,20,0.39,22,0.61,165,0.340000000000003,14.599522025011,"simple vs. complex","f"
"31","5c8123c4366cb20001280842","test","sc","cn",1760,0.91,52,0.09,18,0.14,62,0.86,47,20,0,"simple vs. complex","f"
"32","5c8123c4366cb20001280842","test","cs","rl",1762,0.86,72,0.14,199,0.16,19,0.84,128,-20.78,4.10729293514466,"simple vs. complex","j"
"33","5c8123c4366cb20001280842","test","sc","lr",2848,0.83,108,0.17,25,0.86,106,0.14,166,-20.51,10.3583004643713,"simple vs. complex","f"
"34","5c8123c4366cb20001280842","test","sc","ns",2181,0.62,47,0.38,155,0.44,121,0.56,26,20.24,5.26497609512484,"simple vs. complex","f"
"35","5c8123c4366cb20001280842","test","sc","lr",1831,0.12,2,0.88,77,0.17,69,0.83,43,20.58,14.6056624289915,"simple vs. complex","f"
"36","5c8123c4366cb20001280842","test","sc","rl",2793,0.88,93,0.12,192,0.93,100,0.07,31,9.70999999999999,14.5660479477596,"simple vs. complex","f"
"37","5c8123c4366cb20001280842","test","cs","ns",2536,0.62,78,0.38,14,0.34,38,0.66,92,-19.96,5.48445876492334,"simple vs. complex","j"
"38","5c8123c4366cb20001280842","test","sc","ns",2172,0.41,19,0.59,124,0.37,13,0.63,89,20.07,14.9493696130005,"simple vs. complex","f"
"39","5c8123c4366cb20001280842","test","sc","rl",2746,0.86,72,0.14,199,0.16,19,0.84,128,-20.78,4.10729293514466,"simple vs. complex","f"
"40","5c8123c4366cb20001280842","test","sc","lr",2648,0.87,97,0.13,38,0.84,87,0.16,100,0.25,15.0760239077902,"simple vs. complex","f"
"41","5c8123c4366cb20001280842","test","cs","ns",2690,0.44,18,0.56,151,0.65,141,0.35,33,-10.72,14.5067469201563,"simple vs. complex","j"
"42","5c8123c4366cb20001280842","test","cs","rl",2364,0.91,97,0.09,134,0.14,87,0.86,103,-0.430000000000007,5.03693263240091,"simple vs. complex","j"
"43","5c8123c4366cb20001280842","test","sc","ns",2399,0.45,182,0.55,39,0.4,188,0.6,63,-9.64999999999999,9.90435818354387,"simple vs. complex","f"
"44","5c8123c4366cb20001280842","test","sc","ns",2676,0.44,89,0.56,41,0.54,60,0.46,43,9.94,15.353817060126,"simple vs. complex","f"
"45","5c8123c4366cb20001280842","test","cs","ns",3360,0.58,24,0.42,82,0.57,57,0.43,84,-20.25,15.2593481178216,"simple vs. complex","j"
"46","5c8123c4366cb20001280842","test","sc","lr",2331,0.91,52,0.09,18,0.14,62,0.86,47,-0.160000000000004,4.5253743825836,"simple vs. complex","f"
"47","5c8123c4366cb20001280842","test","sc","rl",4260,0.83,130,0.17,187,0.96,153,0.04,70,-9.99000000000001,5.14645767485166,"simple vs. complex","f"
"48","5c8123c4366cb20001280842","test","sc","ns",3075,0.42,158,0.58,22,0.68,40,0.32,162,0.0799999999999983,10.2138664814465,"simple vs. complex","f"
"49","5c8123c4366cb20001280842","test","cs","rl",2596,0.12,163,0.88,58,0.17,7,0.83,59,20.44,14.5880557296384,"simple vs. complex","j"
"50","5c8123c4366cb20001280842","test","cs","lr",3353,0.18,23,0.82,74,0.12,70,0.88,42,19.46,10.4946371533522,"simple vs. complex","j"
"51","5c8123c4366cb20001280842","test","cs","lr",2725,0.83,108,0.17,25,0.86,106,0.14,166,-20.51,10.3583004643713,"simple vs. complex","j"
