P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EV_A,EV_B,EV_diff,SD_A,SD_B,SD_diff,skew_A,skew_B,skew_diff,skew_level,ev_level,sd_level,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D
0.53,104,0.47,135,0.54,129,0.46,148,118.57,137.74,-19.17,15.47,9.47,6.0,0.12,0.16,-0.04,no_skew_vs_no_skew,-20,5,118.57,15.47,0.12,145,0.17,132,0.08,124,0.12,119,0.2,114,0.14,107,0.07,96,0.22,118.46,16.16,0.19,137.74,9.47,0.16,154,0.19,144,0.13,140,0.06,138,0.03,136,0.25,132,0.23,118,0.11,137.86,10.34,-0.07,-19.17,6.0,-0.04,-19.4,5.82,0.26
0.45,116,0.55,159,0.47,147,0.53,169,139.65,158.66,-19.01,21.39,10.98,10.41,-0.2,-0.12,-0.08,no_skew_vs_no_skew,-20,10,139.65,21.39,-0.2,168,0.23,153,0.21,145,0.03,138,0.09,131,0.17,120,0.15,100,0.12,139.81,21.97,-0.3,158.66,10.98,-0.12,174,0.26,164,0.16,160,0.14,158,0.03,155,0.11,150,0.08,141,0.22,158.69,11.92,-0.19,-19.01,10.41,-0.08,-18.88,10.05,-0.12
0.53,43,0.47,87,0.49,78,0.51,90,63.68,84.12,-20.44,21.96,6.0,15.96,0.12,-0.04,0.16,no_skew_vs_no_skew,-20,15,63.68,21.96,0.12,110,0.08,87,0.14,74,0.11,64,0.27,56,0.21,42,0.03,26,0.16,63.58,22.65,0.09,84.12,6.0,-0.04,95,0.19,87,0.17,85,0.18,83,0.15,81,0.03,79,0.08,74,0.2,84.14,6.86,0.08,-20.44,15.96,0.16,-20.56,15.79,0.01
0.53,73,0.47,107,0.55,87,0.45,113,88.98,98.7,-9.72,16.97,12.93,4.03,0.12,0.2,-0.08,no_skew_vs_no_skew,-10,5,88.98,16.97,0.12,115,0.2,100,0.14,93,0.17,88,0.1,82,0.11,75,0.07,63,0.21,89.11,17.78,-0.06,98.7,12.93,0.2,125,0.11,108,0.21,102,0.15,98,0.23,93,0.02,88,0.04,80,0.24,98.85,13.61,0.19,-9.72,4.03,-0.08,-9.74,4.17,-0.24
0.56,90,0.44,125,0.48,109,0.52,123,105.4,116.28,-10.88,17.37,6.99,10.38,0.24,-0.08,0.32,no_skew_vs_no_skew,-10,10,105.4,17.37,0.24,136,0.14,119,0.22,112,0.05,106,0.18,100,0.04,93,0.09,83,0.28,105.51,18.15,0.19,116.28,6.99,-0.08,127,0.23,122,0.06,119,0.02,117,0.2,115,0.17,112,0.11,105,0.21,116.23,7.59,-0.02,-10.88,10.38,0.32,-10.72,10.56,0.21
0.46,60,0.54,100,0.45,86,0.55,97,81.6,92.05,-10.45,19.94,5.47,14.46,-0.16,-0.2,0.04,no_skew_vs_no_skew,-10,15,81.6,19.94,-0.16,109,0.2,93,0.23,84,0.18,78,0.04,71,0.07,62,0.15,45,0.13,81.55,20.52,-0.35,92.05,5.47,-0.2,100,0.26,95,0.13,93,0.16,91,0.15,89,0.08,87,0.04,81,0.18,92.06,6.45,-0.44,-10.45,14.46,0.04,-10.51,14.07,0.08
0.55,117,0.45,149,0.52,120,0.48,142,131.4,130.56,0.84,15.92,10.99,4.93,0.2,0.08,0.12,no_skew_vs_no_skew,0,5,131.4,15.92,0.2,159,0.16,145,0.09,137,0.14,132,0.11,128,0.22,120,0.07,108,0.21,131.43,16.42,0.18,130.56,10.99,0.08,149,0.19,138,0.14,133,0.08,131,0.13,128,0.15,123,0.11,113,0.2,130.63,11.91,0.05,0.84,4.93,0.12,0.8,4.51,0.13
0.53,28,0.47,78,0.51,38,0.49,66,51.5,51.72,-0.22,24.95,14.0,10.96,0.12,0.04,0.08,no_skew_vs_no_skew,0,10,51.5,24.95,0.12,106,0.06,80,0.18,66,0.14,56,0.07,47,0.19,35,0.1,20,0.26,51.55,25.38,0.34,51.72,14.0,0.04,97,0.02,69,0.18,57,0.29,52,0.07,48,0.19,40,0.1,26,0.15,51.55,14.78,0.07,-0.22,10.96,0.08,0.0,10.6,0.28
0.48,144,0.52,183,0.45,160,0.55,168,164.28,164.4,-0.12,19.48,3.98,15.5,-0.08,-0.2,0.12,no_skew_vs_no_skew,0,15,164.28,19.48,-0.08,190,0.27,180,0.03,170,0.17,164,0.06,157,0.13,148,0.23,128,0.11,163.97,20.1,-0.14,164.4,3.98,-0.2,171,0.21,169,0.04,167,0.11,165,0.13,163,0.16,161,0.19,156,0.16,164.12,4.95,-0.13,-0.12,15.5,0.12,-0.15,15.15,-0.01
0.46,145,0.54,176,0.56,142,0.44,163,161.74,151.24,10.5,15.45,10.42,5.03,-0.16,0.24,-0.4,no_skew_vs_no_skew,10,5,161.74,15.45,-0.16,191,0.12,175,0.11,165,0.23,160,0.18,154,0.24,140,0.07,119,0.05,161.63,16.24,-0.32,151.24,10.42,0.24,169,0.19,158,0.12,153,0.18,151,0.08,148,0.02,146,0.21,135,0.2,151.31,11.17,0.14,10.5,5.03,-0.4,10.32,5.08,-0.46
