skew,EVA,EVB,EVD,new_EVA,new_EVB,new_EVD,SDA,SDB,SDD,new_SDA,new_SDB,new_SDD,skewness_A,new_skewness_A,skewness_B,new_skewness_B,skewness_D,new_skewness_D,after_diff_CC,after_diff_CS,after_diff_SC,after_diff_SS
rl,40.0,39.75,0.25,40.04,39.58,0.46,21.79,7.15,14.64,22.19,8.03,14.16,4.13,1.76,-2.87,-2.69,6.99,4.44,8.7,8.22,13.1,12.63
rl,97.28,96.85,0.43,97.32,97.14,0.18,15.02,9.37,5.65,15.92,10.08,5.83,2.49,1.95,-4.13,-3.02,6.62,4.97,7.02,7.17,8.69,8.84
rl,41.1,41.77,-0.67,41.18,41.58,-0.4,17.87,6.99,10.88,18.18,6.59,11.59,4.13,2.19,-5.51,-4.19,9.64,6.38,6.36,6.91,10.75,11.3
rl,108.74,117.95,-9.21,108.95,118.28,-9.33,18.76,4.58,14.18,19.23,5.51,13.73,3.71,1.94,-4.13,-3.84,7.83,5.79,6.59,6.99,9.36,9.76
rl,150.68,161.5,-10.82,150.58,161.35,-10.77,12.48,7.5,4.98,13.31,8.62,4.69,3.1,2.22,-2.67,-2.52,5.76,4.74,6.14,5.68,8.03,7.57
rl,90.88,100.14,-9.26,90.83,100.33,-9.5,16.55,7.36,9.19,17.16,7.98,9.18,3.1,1.9,-3.71,-3.04,6.8,4.94,7.47,7.54,9.18,9.25
rl,82.95,102.4,-19.45,82.94,102.56,-19.62,21.58,6.73,14.85,22.05,7.77,14.28,4.13,1.93,-2.2,-2.12,6.33,4.05,7.37,7.3,12.15,12.08
rl,54.6,74.2,-19.6,54.44,74.29,-19.85,11.45,6.94,4.51,12.28,8.16,4.12,2.87,2.22,-2.08,-2.06,4.94,4.28,5.48,5.41,6.52,6.45
rl,108.95,129.76,-20.81,108.91,129.64,-20.73,17.22,8.16,9.05,17.76,8.92,8.83,4.13,2.06,-3.37,-2.76,7.5,4.82,7.85,7.58,11.52,11.25
rl,76.72,55.75,20.97,76.8,55.9,20.9,22.79,8.41,14.38,23.28,9.41,13.87,3.1,1.71,-2.2,-2.15,5.3,3.86,7.67,7.55,11.44,11.32
rl,131.29,110.8,20.49,131.33,110.98,20.35,11.99,6.6,5.39,12.72,7.58,5.15,3.37,2.18,-2.67,-2.78,6.04,4.96,5.84,5.92,7.24,7.32
rl,66.67,45.72,20.95,66.87,45.86,21.01,15.18,6.17,9.01,15.19,7.3,7.89,5.51,2.81,-2.34,-2.22,7.85,5.04,7.73,7.47,10.77,10.5
rl,70.7,60.44,10.26,70.79,60.6,10.19,21.9,7.64,14.26,22.39,8.55,13.84,2.49,1.51,-4.69,-3.85,7.19,5.36,8.67,8.34,10.41,10.08
rl,127.2,117.26,9.94,127.21,117.0,10.21,17.63,12.18,5.45,18.15,12.31,5.84,3.1,1.78,-6.86,-4.56,9.95,6.34,9.79,9.69,12.51,12.41
rl,96.68,87.68,9.0,96.74,87.62,9.12,18.03,7.51,10.52,18.71,7.65,11.06,4.69,2.51,-5.51,-4.13,10.21,6.65,8.07,8.38,12.03,12.34
lr,73.4,73.21,0.19,73.6,73.56,0.04,19.8,5.72,14.08,20.67,6.95,13.72,-2.67,-1.53,2.2,2.28,-4.87,-3.82,-8.92,-8.26,-10.58,-9.93
lr,159.71,160.6,-0.89,159.78,160.7,-0.92,12.2,7.8,4.4,12.96,8.85,4.11,-2.49,-1.99,2.67,2.55,-5.16,-4.54,-7.55,-7.5,-7.54,-7.49
lr,123.28,123.88,-0.6,123.14,124.05,-0.91,18.22,9.16,9.07,18.7,10.05,8.65,-4.69,-2.53,2.87,2.48,-7.56,-5.01,-10.69,-11.1,-11.56,-11.97
lr,138.61,148.92,-10.31,138.58,148.65,-10.07,20.32,4.51,15.81,21.07,5.89,15.18,-2.87,-1.65,4.69,3.53,-7.56,-5.18,-8.97,-9.75,-10.26,-11.04
lr,156.86,166.76,-9.9,156.94,166.78,-9.84,13.16,7.47,5.69,13.84,8.44,5.4,-2.87,-2.09,2.34,2.12,-5.2,-4.21,-6.77,-7.11,-7.45,-7.79
lr,159.27,169.9,-10.63,159.21,169.78,-10.57,15.52,5.7,9.82,15.94,6.77,9.18,-5.51,-2.77,2.67,2.72,-8.18,-5.49,-8.46,-8.3,-9.72,-9.56
lr,101.54,120.88,-19.34,101.7,121.2,-19.5,19.9,4.31,15.59,20.59,5.81,14.78,-3.37,-1.79,4.69,4.02,-8.07,-5.8,-10.21,-9.67,-11.73,-11.19
lr,121.08,140.59,-19.51,121.11,140.89,-19.78,14.29,9.04,5.25,14.97,9.49,5.47,-3.37,-2.38,5.51,4.04,-8.88,-6.42,-10.72,-10.99,-11.05,-11.31
lr,122.45,142.65,-20.2,122.56,142.64,-20.08,14.5,4.69,9.81,14.89,5.95,8.94,-5.51,-3.05,2.49,2.56,-8.0,-5.61,-7.78,-7.63,-8.8,-8.65
lr,151.1,131.59,19.51,150.98,131.58,19.4,30.08,14.46,15.62,30.43,15.39,15.04,-4.13,-1.56,2.2,1.97,-6.33,-3.54,-15.03,-14.87,-18.32,-18.16
lr,107.32,87.08,20.24,107.48,87.14,20.34,18.03,13.84,4.19,18.67,14.41,4.26,-4.69,-2.34,3.1,2.28,-7.79,-4.62,-8.98,-11.0,-11.69,-13.72
lr,136.68,117.26,19.42,136.58,117.44,19.14,26.06,16.86,9.2,26.36,17.41,8.94,-4.69,-1.64,3.71,1.8,-8.4,-3.44,-10.38,-14.4,-15.6,-19.62
