index,skew,P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EVA,EVB,EVD,SDA,SDB,SDD,skewness_a,skewness_b,skewness_diff,evd_bins,sdd_bins,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D,EUA,EUB,EUA_simple,EUB_simple,EUD_CC,EUD_SC,EUD_CS,EUD_SS,after_diff_CC,after_diff_CS,after_diff_SC,after_diff_SS
17,lr,0.82,98,0.18,11,0.12,143,0.88,85,82.34,91.96,-9.61999999999999,33.42430851939947,18.84776909875543,14.576539420644039,-1.6658534601451331,2.3387383286073034,-4.004591788752436,-11 to -9,14 to 16,82.34,33.42430851939947,-1.665853460145133,119,0.22,99,0.3,86,0.17,72,0.04,57,0.08,39,0.03,19,0.16,82.15,33.691059644956255,-0.8253970655876379,91.96,18.84776909875543,2.338738328607303,163,0.03,135,0.04,114,0.08,100,0.13,91,0.28,84,0.2,72,0.24,91.97,19.527137527041692,1.7254718134224758,-9.61999999999999,14.576539420644039,-4.004591788752435,-9.819999999999993,14.163922117914563,-2.550868879010114,73.93655086180098,95.86217206029734,70.55792733630483,97.06948862913302,-21.92562119849636,-25.30424472399251,-23.132937767332038,-26.51156129282819,-12.305621198496368,-13.512937767332048,-15.68424472399252,-16.8915612928282
32,lr,0.81,49,0.19,9,0.17,44,0.83,29,41.400000000000006,31.55,9.850000000000005,15.692036196746425,5.634491991297884,10.05754420544854,-1.5804194999972065,1.7570350646145017,-3.337454564611708,9 to 11,9 to 11,41.400000000000006,15.692036196746425,-1.5804194999972063,59,0.24,48,0.27,43,0.18,38,0.04,32,0.1,21,0.05,6,0.12,41.35,16.34158805012536,-1.0095583648274509,31.55,5.634491991297884,1.7570350646145017,62,0.02,37,0.3,35,0.07,33,0.04,31,0.03,29,0.31,24,0.23,31.55,6.596021528163776,1.7844541856310008,9.850000000000005,10.05754420544854,-3.3374545646117078,9.8,9.745566521961583,-2.7940125504584516,36.831139598089706,32.88632482646882,36.005249909750816,32.66389987371052,3.9448147716208837,3.1189250832819937,4.167239724379186,3.3413500360402963,-5.905185228379121,-5.682760275620819,-6.731074916718011,-6.508649963959709
22,lr,0.86,79,0.14,27,0.89,69,0.11,96,71.72,71.97,-0.25,18.04332563581337,8.448023437467489,9.595302198345882,-2.075005503735237,2.4928908111922716,-4.567896314927509,-1 to 1,9 to 11,71.72,18.04332563581337,-2.0750055037352375,87,0.36,79,0.12,72,0.28,65,0.05,55,0.07,40,0.06,18,0.059999999999999776,71.54,18.594310957924723,-1.5619323179865359,71.97,8.448023437467489,2.492890811192272,111,0.03,89,0.06,78,0.07,73,0.19,71,0.2,69,0.21,63,0.24,71.81,9.336696417898569,2.4062991817520785,-0.25,9.595302198345882,-4.567896314927509,-0.269999999999996,9.257614540026154,-3.9682314997386143,64.56010784883246,74.30110885145433,64.7059610152961,75.49854870877503,-9.741001002621871,-9.595147836158233,-10.938440859942574,-10.792587693478936,-9.491001002621871,-10.688440859942574,-9.345147836158233,-10.542587693478936
15,lr,0.81,134,0.19,48,0.13,189,0.87,118,117.66000000000001,127.22999999999999,-9.569999999999979,33.737877823004816,23.877543843536337,9.860333979468479,-1.580419499997209,2.2003938237651752,-3.780813323762384,-11 to -9,9 to 11,117.66000000000001,33.737877823004816,-1.580419499997209,153,0.27,133,0.2,117,0.24,101,0.13,80,0.06,57,0.02,32,0.08000000000000011,117.61999999999999,34.1490204837562,-1.1494499558274953,127.22999999999999,23.877543843536337,2.2003938237651752,199,0.06,174,0.02,152,0.1,138,0.08,126,0.31,116,0.19,102,0.24000000000000002,127.24,24.508006854903563,1.4744453511259499,-9.569999999999979,9.860333979468479,-3.780813323762384,-9.620000000000005,9.64101362885264,-2.623895306953445,107.0006921958169,130.64626012726666,106.06128730596427,133.31368963121426,-23.64556793144976,-24.584972821302387,-26.312997435397364,-27.25240232524999,-14.075567931449783,-16.742997435397385,-15.014972821302408,-17.68240232525001
44,lr,0.12,2,0.88,77,0.17,69,0.83,43,68.0,47.42,20.58,24.372115213907882,9.766452784916334,14.605662428991549,-2.338738328607322,1.7570350646145159,-4.095773393221838,19 to 21,14 to 16,68.0,24.372115213907882,-2.3387383286073216,93,0.27,81,0.15,72,0.17,64,0.21,50,0.05,32,0.04,11,0.10999999999999978,67.92999999999999,25.012099072249,-1.1408677507710887,47.42,9.766452784916334,1.7570350646145156,93,0.02,66,0.08,52,0.18,48,0.15,46,0.19,43,0.26,31,0.12,47.339999999999996,10.526366894612785,1.6261425085108598,20.58,14.605662428991549,-4.095773393221837,20.589999999999996,14.485732177636216,-2.7670102592819488,60.47379308576909,49.10597450360266,61.39290263474179,49.350759781098226,11.367818582166429,12.286928131139128,11.123033304670862,12.042142853643561,-9.21218141783357,-9.456966695329136,-8.29307186886087,-8.537857146356437
37,lr,0.83,91,0.17,46,0.07,108,0.93,60,83.35,63.36000000000001,19.989999999999988,16.903475973893656,12.247056789286152,4.656419184607504,-1.757035064614498,3.3706057471793778,-5.127640811793876,19 to 21,4 to 6,83.35,16.903475973893656,-1.7570350646144979,100,0.33,90,0.16,84,0.14,78,0.09,70,0.22,48,0.02,24,0.039999999999999994,83.49999999999999,17.500571419242288,-1.5579525712506128,63.36000000000001,12.247056789286152,3.3706057471793778,118,0.03,92,0.05,76,0.04,65,0.23,62,0.26,59,0.12,53,0.27,63.64,13.009627204497445,2.5874458029052505,19.989999999999988,4.656419184607504,-5.127640811793876,19.859999999999985,4.490944214744843,-4.145398374155864,77.03978229796763,67.46877802995903,77.24209888021878,67.94803276777482,9.571004268008608,9.77332085025975,9.091749530192814,9.294066112443957,-10.41899573199138,-10.898250469807174,-10.216679149740237,-10.69593388755603
12,lr,0.83,60,0.17,9,0.96,58,0.04,130,51.33,60.88,-9.550000000000004,19.157272770412806,14.109060918431107,5.0482118519817,-1.757035064614507,4.694855340334429,-6.451890404948935,-11 to -9,4 to 6,51.33,19.157272770412806,-1.7570350646145068,74,0.2,61,0.21,54,0.24,47,0.19,35,0.02,21,0.05,2,0.0899999999999999,51.43,19.950566407999542,-1.246235800874222,60.88,14.109060918431107,4.694855340334428,128,0.03,97,0.02,70,0.15,60,0.28,58,0.09,56,0.27,47,0.1599999999999999,60.94,14.558035581767205,3.120528458132591,-9.550000000000004,5.0482118519817,-6.4518904049489345,-9.509999999999998,5.392530826232337,-4.366764259006813,45.5286845111224,65.46193873819075,44.40771206424795,67.82641894171081,-19.933254227068353,-21.0542266739428,-22.297734430588413,-23.41870687746286,-10.383254227068349,-12.747734430588409,-11.504226673942796,-13.868706877462856
9,lr,0.87,107,0.13,3,0.17,157,0.83,104,93.48,113.00999999999999,-19.529999999999987,34.97555717926449,19.908538369252526,15.067018810011966,-2.2003938237651997,1.7570350646145012,-3.9574288883797006,-21 to -19,14 to 16,93.48,34.97555717926449,-2.200393823765199,126,0.35,106,0.2,88,0.22,69,0.02,49,0.13,26,0.03,2,0.05,93.28999999999999,35.10392997941968,-1.0664852742004847,113.00999999999999,19.908538369252526,1.7570350646145008,171,0.07,151,0.02,133,0.06,121,0.13,112,0.31,104,0.21,89,0.2,113.06,20.717055775375034,1.384032765864642,-19.529999999999987,15.067018810011966,-3.9574288883796997,-19.77000000000001,14.386874204044648,-2.450518040065127,81.71262232713782,115.25151229336218,79.55298989936992,116.94577955377716,-33.53888996622436,-35.69852239399226,-35.233157226639335,-37.39278965440724,-14.008889966224373,-15.703157226639348,-16.168522393992276,-17.86278965440725
26,lr,0.87,97,0.13,38,0.84,87,0.16,100,89.33,89.08,0.25,19.84190263054428,4.765878722754073,15.076023907790205,-2.2003938237652,1.8548520670059312,-4.055245890771131,-1 to 1,14 to 16,89.33,19.84190263054428,-2.2003938237652005,110,0.3,99,0.11,91,0.09,83,0.4,64,0.04,41,0.03,13,0.0299999999999999,89.46000000000001,20.62155183297318,-1.698697824937999,89.08,4.765878722754073,1.8548520670059314,113,0.03,94,0.2,92,0.07,90,0.19,88,0.22,86,0.04,83,0.25,89.28,5.709781081617754,1.9290709870736322,0.25,15.076023907790205,-4.055245890771132,0.18000000000000682,14.911770751355425,-3.627768812011631,81.79870895782894,90.42988265266472,81.42910003906562,90.84489212952161,-8.63117369483578,-9.0007826135991,-9.046183171692675,-9.415792090455994,-8.88117369483578,-9.296183171692675,-9.2507826135991,-9.665792090455994
42,lr,0.18,23,0.82,74,0.12,70,0.88,42,64.82,45.36,19.459999999999994,19.593560166544517,9.098923013192275,10.494637153352242,-1.6658534601451271,2.3387383286073278,-4.004591788752455,19 to 21,9 to 11,64.82,19.593560166544517,-1.6658534601451274,94,0.12,76,0.23,67,0.29,60,0.2,47,0.06,29,0.04,7,0.06000000000000001,64.59,20.19559110301058,-1.2396498566498844,45.36,9.098923013192275,2.3387383286073278,81,0.05,64,0.03,53,0.07,47,0.19,45,0.15,43,0.22,37,0.29,45.55,10.000374992969013,2.2602569663236145,19.459999999999994,10.494637153352242,-4.004591788752455,19.040000000000006,10.195216110041569,-3.499906822973499,59.008696376672724,47.902169416564135,61.19593607445344,47.826649683029736,11.106526960108589,13.293766657889307,11.182046693642988,13.369286391423707,-8.353473039891405,-8.277953306357006,-6.1662333421106865,-6.090713608576287
