skew,EVA,EVB,EVD,complex_EVA,complex_EVB,complex_EVD,SDA,SDB,SDD,complex_SDA,complex_SDB,complex_SDD,simple_skewness_A,complex_skewness_A,simple_skewness_B,complex_skewness_B,simple_skewness_D,complex_skewness_D,after_diff_CC,after_diff_CS,after_diff_SC,after_diff_SS
lr,82.34,91.96,-9.62,82.32,91.77,-9.45,33.42,18.85,14.58,33.84,19.68,14.16,-1.67,-1.06,2.34,1.94,-4.0,-3.0,-14.5,-15.02,-16.37,-16.89
lr,41.4,31.55,9.85,41.71,31.48,10.23,15.69,5.63,10.06,16.31,6.59,9.72,-1.58,-1.16,1.76,1.76,-3.34,-2.92,-5.87,-5.73,-6.65,-6.51
lr,71.72,71.97,-0.25,71.67,72.04,-0.37,18.04,8.45,9.6,18.82,9.3,9.52,-2.08,-1.59,2.49,2.51,-4.57,-4.09,-8.88,-9.93,-9.49,-10.54
lr,117.66,127.23,-9.57,117.8,127.09,-9.29,33.74,23.88,9.86,34.18,24.51,9.68,-1.58,-1.13,2.2,1.48,-3.78,-2.61,-13.72,-17.06,-14.35,-17.68
lr,68.0,47.42,20.58,68.11,47.65,20.46,24.37,9.77,14.61,24.95,10.75,14.19,-2.34,-1.27,1.76,1.74,-4.1,-3.01,-9.27,-9.32,-8.49,-8.54
lr,83.35,63.36,19.99,83.28,63.39,19.89,16.9,12.25,4.66,17.68,13.2,4.48,-1.76,-1.69,3.37,2.65,-5.13,-4.34,-10.73,-11.44,-9.99,-10.7
lr,51.33,60.88,-9.55,51.32,60.81,-9.49,19.16,14.11,5.05,19.78,14.71,5.07,-1.76,-1.3,4.69,3.35,-6.45,-4.65,-11.73,-13.19,-12.41,-13.87
lr,93.48,113.01,-19.53,93.35,113.11,-19.76,34.98,19.91,15.07,35.2,20.54,14.66,-2.2,-1.16,1.76,1.37,-3.96,-2.53,-14.65,-15.6,-16.91,-17.86
lr,89.33,89.08,0.25,89.11,89.12,-0.01,19.84,4.77,15.08,20.45,5.69,14.76,-2.2,-1.54,1.85,1.71,-4.06,-3.25,-8.92,-9.69,-8.9,-9.67
lr,64.82,45.36,19.46,64.74,45.4,19.34,19.59,9.1,10.49,20.14,9.96,10.18,-1.67,-1.38,2.34,2.27,-4.0,-3.64,-10.32,-9.94,-6.47,-6.09
lr,41.98,31.75,10.23,42.05,31.73,10.32,14.98,9.81,5.18,15.78,10.55,5.23,-1.67,-1.26,1.58,1.58,-3.25,-2.84,-6.41,-6.57,-4.3,-4.47
lr,93.89,114.4,-20.51,93.74,114.29,-20.55,31.18,20.82,10.36,31.55,21.52,10.03,-1.76,-1.27,2.08,1.45,-3.83,-2.72,-13.1,-18.26,-14.2,-19.36
lr,77.88,67.73,10.15,77.72,67.74,9.98,24.7,9.95,14.75,25.28,10.85,14.43,-2.34,-1.42,3.37,2.74,-5.71,-4.17,-11.97,-13.18,-13.43,-14.64
lr,82.96,102.72,-19.76,82.83,102.86,-20.03,29.84,24.56,5.28,30.14,25.04,5.1,-2.08,-1.02,1.85,1.45,-3.93,-2.46,-13.72,-15.06,-15.45,-16.78
lr,48.94,49.1,-0.16,48.62,49.35,-0.73,9.73,5.2,4.53,10.43,6.13,4.3,-2.87,-2.32,2.08,2.1,-4.94,-4.42,-6.33,-5.83,-6.01,-5.51
ns,43.79,44.12,-0.33,43.94,44.1,-0.16,17.4,12.62,4.78,18.17,13.2,4.97,-0.72,-0.72,-0.49,-0.49,-0.23,-0.22,-1.85,-2.47,2.5,1.88
ns,109.57,109.23,0.34,108.8,109.18,-0.38,84.35,69.75,14.6,83.49,69.49,13.99,-0.12,-0.12,-0.45,-0.43,0.33,0.31,0.53,-13.68,2.29,-11.91
ns,62.12,52.18,9.94,62.05,52.23,9.82,23.83,8.47,15.35,24.38,9.31,15.07,0.24,0.24,-0.16,-0.16,0.4,0.4,0.07,-0.09,-0.08,-0.24
ns,65.4,55.6,9.8,65.53,55.64,9.89,14.66,9.66,5.01,15.55,10.45,5.11,-0.87,-0.87,-0.54,-0.54,-0.33,-0.33,-1.49,-1.86,1.45,1.08
