P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EV_A,EV_B,EV_diff,SD_A,SD_B,SD_diff,skew_A,skew_B,skew_diff,skew_level,ev_level,sd_level,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D
0.13,119,0.87,160,0.9,174,0.1,189,154.67,175.5,-20.83,13.788440811056194,4.5,9.29,-2.2003938237651237,2.666666666666667,-4.867060490431791,left_vs_right,-20,10,154.67,13.788440811056194,-2.200393823765124,169,0.29,160,0.1,155,0.28,150,0.21,138,0.07,119,0.02,96,0.03,154.82999999999998,14.667688979522302,-2.07460259424495,175.5,4.5,2.666666666666667,200,0.02,185,0.07,179,0.05,177,0.24,175,0.08,173,0.28,171,0.26,175.28,5.144083980651949,2.5454638616867182,-20.830000000000013,9.288440811056194,-4.867060490431792,-20.450000000000017,9.523604998870352,-4.620066455931669
0.1,31,0.9,68,0.92,72,0.08,91,64.3,73.52000000000001,-9.22,11.1,5.154570787175204,5.95,-2.6666666666666354,3.096281079253026,-5.762947745919662,left_vs_right,-10,5,64.3,11.1,-2.666666666666636,76,0.27,69,0.1,66,0.22,63,0.12,58,0.24,37,0.02,13,0.03000000000000001,64.55,11.97194637475461,-2.436601474240198,73.52000000000001,5.154570787175204,3.096281079253026,106,0.02,78,0.21,75,0.19,73,0.09,71,0.25,69,0.06,67,0.1799999999999999,73.27,6.013077415101189,3.0930786776345007,-9.220000000000013,5.945429212824796,-5.7629477459196625,-8.719999999999999,5.9588689596534214,-5.5296801518746985
0.11,85,0.89,126,0.86,129,0.14,149,121.49,131.8,-10.31,12.828480034672854,6.939740629158989,5.89,-2.4928908111923027,2.075005503735251,-4.5678963149275535,left_vs_right,-10,5,121.49,12.828480034672854,-2.492890811192302,133,0.32,125,0.15,121,0.35,114,0.07,104,0.04,88,0.05,62,0.02,121.44,13.687454109512112,-2.265644888649032,131.8,6.939740629158989,2.0750055037352504,164,0.03,139,0.19,134,0.25,132,0.05,130,0.04,128,0.24,123,0.19999999999999998,131.95,7.824800316941001,1.8741962882647876,-10.310000000000016,5.888739405513864,-4.567896314927552,-10.509999999999991,5.862653792571111,-4.139841176913819
0.1,100,0.9,132,0.88,136,0.12,151,128.8,137.8,-9.0,9.600000000000001,4.874423042781577,4.73,-2.666666666666835,2.3387383286080876,-5.005404995274922,left_vs_right,-10,5,128.8,9.600000000000001,-2.6666666666668353,139,0.22,132,0.27,129,0.23,127,0.11,121,0.09,107,0.06,80,0.02000000000000001,128.77,10.37483011909111,-2.451157408952524,137.8,4.874423042781577,2.3387383286080885,163,0.03,143,0.15,141,0.17,139,0.08,137,0.04,135,0.23,133,0.3,137.86,5.805204561425893,2.3644567209550464,-9.0,4.725576957218425,-5.005404995274924,-9.090000000000003,4.5696255576652165,-4.815614129907571
0.14,122,0.86,178,0.86,179,0.14,194,170.16,181.1,-10.94,19.43127376164517,5.204805471869242,14.23,-2.0750055037352344,2.075005503734815,-4.15001100747005,left_vs_right,-10,15,170.16,19.43127376164517,-2.075005503735234,200,0.03,185,0.3,176,0.24,166,0.29,149,0.07,127,0.02,103,0.05000000000000001,170.0,20.00199990001,-1.927019365286101,181.1,5.204805471869242,2.075005503734815,199,0.08,190,0.02,185,0.11,183,0.07,181,0.14,179,0.29,176,0.29000000000000004,181.17000000000002,6.161257988430609,1.8419272703134715,-10.939999999999998,14.226468289775926,-4.150011007470049,-11.170000000000016,13.84074191157939,-3.7689466355995727
0.12,57,0.88,90,0.87,83,0.13,102,86.04,85.47,0.57,10.723730694119467,6.3897652539040894,4.33,-2.338738328607367,2.2003938237651273,-4.539132152372494,left_vs_right,0,5,86.04,10.723730694119467,-2.3387383286073664,98,0.22,90,0.24,87,0.08,85,0.09,82,0.3,65,0.02,45,0.05,85.91999999999999,11.547882922856466,-2.0928932369309714,85.47,6.3897652539040894,2.2003938237651277,120,0.02,98,0.09,92,0.03,88,0.17,86,0.06,84,0.33,79,0.3,85.52000000000001,7.323223334024437,2.345657707669576,0.5700000000000074,4.333965440215378,-4.539132152372494,0.39999999999997726,4.224659588832029,-4.438550944600547
0.12,125,0.88,157,0.89,151,0.11,167,153.16,152.76000000000002,0.4,10.39876915793403,5.006236111091845,5.39,-2.3387383286073535,2.4928908111930106,-4.831629139800365,left_vs_right,0,5,153.16,10.39876915793403,-2.338738328607353,166,0.21,158,0.14,155,0.05,153,0.26,148,0.28,128,0.04,101,0.02,153.09000000000003,11.192046282963629,-2.1589497104585464,152.76000000000002,5.006236111091845,2.492890811193011,183,0.02,159,0.15,155,0.23,153,0.12,151,0.24,149,0.05,146,0.19,152.95,5.948739362251468,2.419152517883983,0.39999999999997726,5.392533046842185,-4.831629139800365,0.1400000000000432,5.243306920712161,-4.578102228342529
0.14,41,0.86,82,0.86,63,0.14,88,76.25999999999999,66.5,9.76,14.226468289775928,8.674675786448736,5.55,-2.07500550373522,2.0750055037352464,-4.150011007470466,left_vs_right,10,5,76.25999999999999,14.226468289775928,-2.07500550373522,89,0.33,80,0.24,76,0.12,71,0.18,60,0.06,44,0.03,22,0.03999999999999978,76.26999999999998,15.0584560961607,-2.0480169554387824,66.5,8.674675786448736,2.0750055037352464,104,0.03,81,0.09,71,0.11,67,0.24,65,0.14,63,0.16,56,0.23,66.36,9.539937106710923,1.8786445431129009,9.759999999999991,5.551792503327192,-4.150011007470466,9.909999999999982,5.5185189894497775,-3.9266614985516832
0.14,135,0.86,194,0.87,174,0.13,191,185.74,176.21,9.53,20.472234856019018,5.717158385072081,14.76,-2.0750055037352606,2.200393823765517,-4.275399327500778,left_vs_right,10,15,185.74,20.472234856019018,-2.075005503735261,200,0.18,198,0.2,194,0.11,188,0.34,170,0.04,150,0.05,126,0.0799999999999998,185.24,20.855272714591848,-1.9718094117472327,176.21,5.717158385072081,2.200393823765518,200,0.04,186,0.06,180,0.08,178,0.17,176,0.09,174,0.3,170,0.26,176.06,6.446425366045899,2.0657701095173957,9.530000000000001,14.755076470946936,-4.275399327500779,9.180000000000007,14.40884734854595,-4.037579521264629
0.14,42,0.86,76,0.89,48,0.11,72,71.24,50.64,20.6,11.797559069570282,7.509354166637768,4.29,-2.0750055037352317,2.492890811192298,-4.56789631492753,left_vs_right,20,5,71.24,11.797559069570282,-2.0750055037352317,83,0.26,74,0.38,71,0.14,66,0.08,59,0.06,46,0.03,28,0.05,71.24000000000001,12.75313294841703,-2.0322804197525417,50.64,7.509354166637768,2.4928908111922974,87,0.03,64,0.06,53,0.21,51,0.22,49,0.17,47,0.16,40,0.15,50.65,8.433712112705768,2.328270138853751,20.599999999999994,4.288204902932514,-4.567896314927529,20.59000000000001,4.319420835711261,-4.360550558606293
