P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EV_A,EV_B,EV_diff,SD_A,SD_B,SD_diff,skew_A,skew_B,skew_diff,skew_level,ev_level,sd_level,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D
0.56,80,0.44,118,0.5,103,0.5,130,96.72,116.5,-19.78,18.8627039419061,13.5,5.36,0.24174688920761353,0.0,0.24174688920761353,no_skew_vs_no_skew,-20,5,96.72,18.8627039419061,0.24174688920761356,142,0.08,123,0.04,108,0.21,100,0.14,93,0.19,83,0.26,59,0.08000000000000011,96.93,19.627152111297253,0.42876903227443686,116.5,13.5,0.0,135,0.28,127,0.03,121,0.1,117,0.04,114,0.26,106,0.02,98,0.27,116.61000000000001,14.049836297978706,0.005338147519625971,-19.78,5.362703941906101,0.24174688920761356,-19.680000000000007,5.577315813318547,0.4234308847548109
0.56,36,0.44,64,0.45,59,0.55,75,48.32000000000001,67.8,-19.48,13.89883448350976,7.95989949685296,5.94,0.24174688920761422,-0.2010075630518342,0.4427544522594484,no_skew_vs_no_skew,-20,5,48.32000000000001,13.89883448350976,0.24174688920761422,74,0.15,61,0.07,53,0.12,49,0.18,45,0.27,36,0.04,25,0.1699999999999999,48.39,14.64164949723903,0.1305220226269467,67.8,7.95989949685296,-0.20100756305183423,81,0.19,73,0.15,71,0.08,69,0.1,67,0.12,64,0.13,55,0.23,67.92999999999999,8.817318186387514,-0.08604362278823899,-19.47999999999999,5.9389349866567995,0.4427544522594484,-19.539999999999992,5.824331310851516,0.2165656454151857
0.48,94,0.52,141,0.45,119,0.55,155,118.44,138.8,-20.36,23.481192473977977,17.90977386791916,5.57,-0.0800640769025427,-0.20100756305184578,0.12094348614930307,no_skew_vs_no_skew,-20,5,118.44,23.481192473977973,-0.0800640769025427,153,0.21,138,0.14,129,0.02,121,0.12,113,0.08,104,0.22,86,0.2100000000000001,118.53,24.013102673332327,0.12578207567896918,138.8,17.90977386791916,-0.20100756305184583,167,0.15,150,0.22,142,0.2,137,0.07,131,0.16,120,0.03,107,0.1699999999999998,138.78999999999996,18.47717240272439,-0.32540026026505486,-20.360000000000014,5.571418606058813,0.12094348614930313,-20.259999999999962,5.535930270607938,0.451182335944024
0.51,38,0.49,79,0.45,60,0.55,93,58.089999999999996,78.15,-20.06,20.49589958991798,16.41729271225923,4.08,0.04000800240079984,-0.20100756305184328,0.24101556545264313,no_skew_vs_no_skew,-20,5,58.09,20.49589958991798,0.04000800240079984,87,0.21,72,0.12,63,0.15,56,0.19,48,0.07,39,0.09,24,0.17,57.949999999999996,20.99160546504245,-0.19834733928351325,78.15,16.41729271225923,-0.2010075630518433,105,0.15,90,0.19,83,0.09,78,0.21,72,0.07,65,0.11,51,0.18,78.07,17.06707649247521,-0.11443092911191095,-20.060000000000002,4.07860687765875,0.24101556545264313,-20.119999999999997,3.9245289725672414,-0.0839164101716023
0.53,104,0.47,135,0.54,129,0.46,148,118.57000000000001,137.74,-19.17,15.472074844700048,9.469551203726606,6.0,0.12021658495512934,0.1605144707810241,-0.04029788582589476,no_skew_vs_no_skew,-20,5,118.57,15.472074844700048,0.12021658495512934,145,0.17,132,0.08,124,0.12,119,0.2,114,0.14,107,0.07,96,0.22,118.46,16.158848968908647,0.18644079063376864,137.74,9.469551203726606,0.16051447078102407,154,0.19,144,0.13,140,0.06,138,0.03,136,0.25,132,0.23,118,0.11,137.86,10.33539549315845,-0.07247322054245743,-19.170000000000016,6.0025236409734415,-0.04029788582589473,-19.40000000000002,5.823453475750197,0.2589140111762261
0.56,43,0.44,91,0.5,70,0.5,97,64.12,83.5,-19.38,23.826573400302443,13.5,10.33,0.24174688920761392,0.0,0.24174688920761392,no_skew_vs_no_skew,-20,10,64.12,23.826573400302443,0.24174688920761395,119,0.04,90,0.26,78,0.02,66,0.2,56,0.24,42,0.11,23,0.13,63.97,24.261267485438598,0.07565086641166648,83.5,13.5,0.0,121,0.05,99,0.12,89,0.21,84,0.25,80,0.04,74,0.24,54,0.09,83.44,14.353619752522357,0.21562108167645677,-19.379999999999995,10.326573400302443,0.24174688920761395,-19.47,9.90764773291624,-0.1399702152647903
0.53,105,0.47,155,0.5,134,0.5,163,128.5,148.5,-20.0,24.95495942693556,14.5,10.45,0.12021658495512914,0.0,0.12021658495512914,no_skew_vs_no_skew,-20,10,128.5,24.95495942693556,0.12021658495512917,176,0.1,153,0.18,141,0.12,132,0.04,123,0.25,110,0.02,97,0.29000000000000004,128.42000000000002,25.594210282796382,0.2699039823402223,148.5,14.5,0.0,169,0.23,158,0.15,153,0.06,149,0.02,145,0.16,139,0.18,126,0.2,148.15,15.190375242238092,-0.0232315183373407,-20.0,10.45495942693556,0.12021658495512917,-19.72999999999999,10.40383504055829,0.293135500677563
0.48,91,0.52,133,0.52,122,0.48,144,112.84,132.56,-19.72,20.983193274618618,10.991196477181182,9.99,-0.08006407690254436,0.08006407690254518,-0.16012815380508955,no_skew_vs_no_skew,-20,10,112.84,20.983193274618618,-0.08006407690254437,145,0.18,129,0.17,120,0.1,113,0.06,107,0.14,98,0.16,81,0.19,112.86,21.6407116334006,0.0029006344965809977,132.56,10.991196477181182,0.08006407690254516,167,0.05,151,0.02,137,0.26,133,0.27,130,0.22,122,0.12,102,0.059999999999999984,132.26,11.918573740175457,0.2723595183224672,-19.72,9.991996797437436,-0.16012815380508955,-19.39999999999999,9.722137893225142,-0.2694588838258862
0.53,143,0.47,187,0.47,171,0.53,195,163.68,183.72,-20.04,21.960364295703293,11.978380524929069,9.98,0.12021658495512778,-0.12021658495512991,0.2404331699102577,no_skew_vs_no_skew,-20,10,163.68,21.960364295703293,0.1202165849551278,199,0.18,183,0.07,172,0.15,163,0.14,155,0.21,142,0.17,120,0.07999999999999999,163.54,22.57140669076697,0.017347288371503934,183.72,11.978380524929069,-0.12021658495512988,200,0.19,194,0.09,190,0.08,187,0.16,183,0.12,176,0.18,163,0.1799999999999999,183.55999999999997,12.360679592967369,-0.35352994747956307,-20.039999999999992,9.981983770774224,0.24043316991025768,-20.019999999999982,10.210727097799602,0.370877235851067
0.45,116,0.55,159,0.47,147,0.53,169,139.65,158.66,-19.01,21.39222989779233,10.980182147851647,10.41,-0.20100756305184406,-0.12021658495512914,-0.08079097809671491,no_skew_vs_no_skew,-20,10,139.65,21.39222989779233,-0.20100756305184406,168,0.23,153,0.21,145,0.03,138,0.09,131,0.17,120,0.15,100,0.12,139.81,21.969385517123595,-0.3032411168613398,158.66,10.980182147851647,-0.12021658495512914,174,0.26,164,0.16,160,0.14,158,0.03,155,0.11,150,0.08,141,0.22,158.69,11.92031459316406,-0.1881049306321166,-19.00999999999999,10.412047749940683,-0.08079097809671491,-18.879999999999995,10.049070923959535,-0.1151361862292232
0.53,43,0.47,87,0.49,78,0.51,90,63.68,84.12,-20.44,21.960364295703293,5.998799879975993,15.96,0.12021658495512864,-0.04000800240080408,0.16022458735593273,no_skew_vs_no_skew,-20,15,63.68000000000001,21.960364295703293,0.12021658495512863,110,0.08,87,0.14,74,0.11,64,0.27,56,0.21,42,0.03,26,0.1599999999999999,63.58,22.653114576146034,0.08950212963424864,84.12,5.998799879975994,-0.04000800240080408,95,0.19,87,0.17,85,0.18,83,0.15,81,0.03,79,0.08,74,0.19999999999999998,84.14,6.862973116660155,0.0832643145152846,-20.439999999999998,15.961564415727299,0.1602245873559327,-20.560000000000002,15.79014145948588,0.006237815118964041
0.56,77,0.44,122,0.5,110,0.5,125,96.80000000000001,117.5,-20.7,22.33741256278354,7.5,14.84,0.24174688920761309,0.0,0.24174688920761309,no_skew_vs_no_skew,-20,15,96.80000000000001,22.33741256278354,0.24174688920761309,137,0.15,120,0.06,108,0.14,99,0.19,91,0.09,82,0.11,69,0.26,96.83,22.830705201548202,0.393730168874456,117.5,7.5,0.0,130,0.21,123,0.06,120,0.1,118,0.15,116,0.14,113,0.12,106,0.22,117.5,8.193289937503737,0.13766883412209072,-20.69999999999999,14.837412562783541,0.24174688920761309,-20.67,14.637415264044465,0.25606133475236525
0.51,18,0.49,61,0.48,54,0.52,65,39.07,59.72,-20.65,21.495699569913977,5.495598238590591,16.0,0.040008002400800276,-0.08006407690254336,0.12007207930334363,no_skew_vs_no_skew,-20,15,39.07,21.495699569913977,0.04000800240080029,76,0.17,60,0.05,48,0.18,40,0.13,32,0.15,21,0.21,2,0.11,39.19,22.258344502680337,0.1881658207047112,59.72,5.495598238590591,-0.08006407690254337,71,0.14,65,0.09,63,0.03,61,0.25,59,0.17,57,0.2,47,0.12,60.0,6.477653896280659,-0.25960039733331014,-20.65,16.000101331323386,0.12007207930334365,-20.810000000000002,15.780690606399679,0.4477662180380213
0.49,9,0.51,58,0.5,44,0.5,62,33.99,53.0,-19.01,24.495099509901976,9.0,15.5,-0.040008002400800484,0.0,-0.040008002400800484,no_skew_vs_no_skew,-20,15,33.99,24.495099509901976,-0.04000800240080048,65,0.3,46,0.16,32,0.1,22,0.06,12,0.19,7,0.02,2,0.1700000000000002,34.14,24.51490159066522,0.0590203585169583,53.0,9.0,0.0,67,0.23,59,0.11,56,0.03,53,0.2,51,0.08,48,0.13,39,0.22,53.08,9.79763236705685,0.012845183963271554,-19.009999999999998,15.495099509901976,-0.04000800240080048,-18.939999999999998,14.71726922360837,0.04617517455368674
0.51,126,0.49,154,0.46,141,0.54,159,139.72,150.72,-11.0,13.997199719943985,8.971153771951522,5.03,0.04000800240080114,-0.1605144707810278,0.20052247318182892,no_skew_vs_no_skew,-10,5,139.72,13.997199719943985,0.04000800240080114,160,0.23,150,0.05,142,0.2,138,0.21,133,0.06,127,0.11,114,0.14,139.59,14.650662101079256,-0.18090797854883622,150.72,8.971153771951522,-0.16051447078102776,166,0.18,155,0.21,152,0.19,150,0.07,148,0.04,145,0.12,135,0.18999999999999978,150.77999999999997,9.868718255173766,-0.12473948733818953,-11.0,5.026045947992463,0.20052247318182892,-11.18999999999997,4.78194384590549,-0.056168491210646695
0.55,30,0.45,75,0.49,42,0.51,78,50.25,60.36,-10.11,22.38721733489895,17.99639963992798,4.39,0.20100756305184234,-0.04000800240080004,0.24101556545264238,no_skew_vs_no_skew,-10,5,50.25,22.38721733489895,0.20100756305184234,107,0.05,80,0.09,60,0.36,49,0.1,38,0.22,23,0.13,2,0.04999999999999999,50.5,22.82432912486148,0.23543913395129945,60.36,17.99639963992798,-0.04000800240080003,93,0.13,76,0.17,69,0.02,62,0.15,56,0.18,47,0.26,25,0.08999999999999977,60.23999999999999,18.55592627706846,0.1086977646253496,-10.11,4.39081769497097,0.24101556545264236,-9.739999999999988,4.268402847793023,0.12674136932594987
0.47,69,0.53,104,0.49,85,0.51,110,87.55,97.75,-10.2,17.46847159885489,12.497499749949988,4.97,-0.12021658495513216,-0.04000800240080028,-0.08020858255433187,no_skew_vs_no_skew,-10,5,87.55000000000001,17.468471598854894,-0.12021658495513218,116,0.16,100,0.19,92,0.14,87,0.02,81,0.2,72,0.22,49,0.07,87.65000000000002,18.097720850980103,-0.1566466557034728,97.75,12.497499749949988,-0.040008002400800276,122,0.12,105,0.22,100,0.24,97,0.04,93,0.15,87,0.09,74,0.14,97.76,13.271111483217975,-0.09021282634989074,-10.199999999999989,4.970971848904906,-0.08020858255433191,-10.109999999999985,4.826609367762128,-0.06643382935358207
0.47,77,0.53,125,0.44,92,0.56,129,102.44,112.72,-10.28,23.956761049858137,18.366316996066466,5.59,-0.12021658495512876,-0.24174688920761273,0.12153030425248397,no_skew_vs_no_skew,-10,5,102.44,23.956761049858137,-0.12021658495512874,138,0.17,120,0.16,108,0.22,99,0.14,90,0.05,79,0.08,63,0.18,102.44,24.585491656666132,-0.24405148660923512,112.72,18.366316996066466,-0.24174688920761273,139,0.23,127,0.04,118,0.25,112,0.06,106,0.07,99,0.2,82,0.15,112.79,18.877656104506197,-0.09416931603021444,-10.280000000000001,5.590444053791671,0.12153030425248398,-10.350000000000009,5.707835552159935,-0.14988217057902067
0.53,73,0.47,107,0.55,87,0.45,113,88.98,98.7,-9.72,16.969372410316183,12.93483668238606,4.03,0.12021658495512885,0.2010075630518426,-0.08079097809671376,no_skew_vs_no_skew,-10,5,88.98,16.969372410316183,0.12021658495512887,115,0.2,100,0.14,93,0.17,88,0.1,82,0.11,75,0.07,63,0.21,89.11,17.776892304337114,-0.05566882722456674,98.7,12.93483668238606,0.2010075630518426,125,0.11,108,0.21,102,0.15,98,0.23,93,0.02,88,0.04,80,0.24,98.85,13.606156694673187,0.18653604438002613,-9.719999999999999,4.034535727930123,-0.08079097809671375,-9.739999999999995,4.170735609663927,-0.24220487160459286
0.47,72,0.53,98,0.56,93,0.44,101,85.78,96.52000000000001,-10.74,12.97657890200649,3.971095566717074,9.01,-0.12021658495512948,0.24174688920761492,-0.3619634741627444,no_skew_vs_no_skew,-10,10,85.78,12.97657890200649,-0.12021658495512945,107,0.18,94,0.13,88,0.17,85,0.16,81,0.19,72,0.02,61,0.15,86.02000000000001,13.818813263084497,-0.26492659446600203,96.52000000000001,3.971095566717074,0.24174688920761492,104,0.2,101,0.02,99,0.08,97,0.25,95,0.07,93,0.21,89,0.17,96.3,4.946716082412655,0.17522243630009898,-10.740000000000009,9.005483335289416,-0.3619634741627444,-10.279999999999987,8.872097180671842,-0.440149030766101
0.55,151,0.45,182,0.46,169,0.54,180,164.95000000000002,174.94000000000003,-9.99,15.42230527515261,5.48237174952593,9.94,0.20100756305184395,-0.1605144707810139,0.36152203383285786,no_skew_vs_no_skew,-10,10,164.95000000000002,15.42230527515261,0.20100756305184392,194,0.13,178,0.12,169,0.23,164,0.18,159,0.08,152,0.07,141,0.19000000000000022,165.12,16.05009657291819,0.1350507821732207,174.94,5.482371749525929,-0.16051447078101394,185,0.16,178,0.12,176,0.22,174,0.14,172,0.17,169,0.02,164,0.1699999999999999,174.54,6.328380519532622,-0.06508748986586721,-9.98999999999998,9.939933525626682,0.36152203383285786,-9.419999999999987,9.721716053385567,0.2001382720390879
0.56,44,0.44,78,0.56,62,0.44,77,58.96,68.60000000000001,-9.64,16.877156158547567,7.445804187594514,9.43,0.2417468892076144,0.24174688920761322,1.1657341758564144e-15,no_skew_vs_no_skew,-10,10,58.96,16.877156158547567,0.24174688920761445,96,0.1,79,0.04,64,0.35,58,0.02,52,0.33,37,0.13,11,0.03,58.61999999999999,17.599306804530684,0.17739315102488926,68.60000000000001,7.445804187594514,0.24174688920761317,91,0.06,73,0.27,70,0.11,68,0.22,66,0.05,64,0.19,51,0.09999999999999978,68.39,8.421276625310437,0.29764066870355027,-9.640000000000008,9.431351970953052,1.27675647831893e-15,-9.77000000000001,9.178030179220247,-0.12024751767866101
0.46,167,0.54,194,0.56,188,0.44,196,181.58,191.52,-9.94,13.456730657927283,3.971095566717074,9.49,-0.16051447078103093,0.2417468892074476,-0.40226135998847856,no_skew_vs_no_skew,-10,10,181.58,13.456730657927283,-0.1605144707810309,200,0.2,195,0.03,190,0.05,186,0.3,180,0.06,173,0.15,160,0.20999999999999977,181.49999999999997,13.843771162512038,-0.2944414848806446,191.52,3.971095566717074,0.24174688920744763,200,0.14,198,0.02,196,0.11,194,0.04,192,0.23,190,0.18,186,0.28,191.72,4.724574054875212,0.38130168867019415,-9.939999999999998,9.48563509121021,-0.40226135998847856,-10.220000000000027,9.119197107636825,-0.6757431735508388
0.56,90,0.44,125,0.48,109,0.52,123,105.4,116.28,-10.88,17.3735431043872,6.994397758206206,10.38,0.2417468892076151,-0.08006407690254487,0.32181096611015997,no_skew_vs_no_skew,-10,10,105.4,17.3735431043872,0.2417468892076152,136,0.14,119,0.22,112,0.05,106,0.18,100,0.04,93,0.09,83,0.28,105.51000000000002,18.152407553820513,0.1915116169192805,116.28,6.994397758206206,-0.08006407690254487,127,0.23,122,0.06,119,0.02,117,0.2,115,0.17,112,0.11,105,0.21000000000000002,116.23,7.593227245381242,-0.015270701515582748,-10.879999999999995,10.379145346180994,0.3218109661101601,-10.719999999999985,10.55918030843927,0.20678231843486325
0.52,122,0.48,169,0.48,145,0.52,163,144.56,154.35999999999999,-9.8,23.481192473977977,8.992797117693694,14.49,0.08006407690254351,-0.08006407690255385,0.16012815380509737,no_skew_vs_no_skew,-10,15,144.56,23.481192473977973,0.08006407690254351,189,0.1,167,0.16,154,0.14,145,0.17,136,0.19,123,0.11,103,0.13,144.59000000000003,24.08655018885021,0.006911219100509121,154.36,8.992797117693692,-0.08006407690255386,173,0.13,161,0.09,156,0.24,154,0.12,152,0.14,146,0.25,123,0.03000000000000001,154.37,9.876897286091417,-0.21455099626099972,-9.800000000000011,14.48839535628428,0.16012815380509737,-9.779999999999973,14.209652902758794,0.22146221536150884
0.5,148,0.5,196,0.55,174,0.45,194,172.0,183.0,-11.0,24.0,9.9498743710662,14.05,0.0,0.20100756305184242,-0.20100756305184242,no_skew_vs_no_skew,-10,15,172.0,24.0,0.0,200,0.08,198,0.12,196,0.05,194,0.11,184,0.13,167,0.19,141,0.32,171.67000000000002,23.595785640660495,-0.23241154550925178,183.0,9.9498743710662,0.20100756305184242,199,0.23,190,0.08,185,0.15,183,0.07,181,0.05,178,0.21,168,0.21000000000000002,183.23999999999998,10.772297805018203,0.12140031398573628,-11.0,14.0501256289338,-0.20100756305184242,-11.569999999999965,12.823487835642291,-0.35381185949498806
0.46,60,0.54,100,0.45,86,0.55,97,81.60000000000001,92.05000000000001,-10.45,19.93589727100338,5.47243090408641,14.46,-0.1605144707810245,-0.2010075630518464,0.0404930922708219,no_skew_vs_no_skew,-10,15,81.6,19.93589727100338,-0.16051447078102452,109,0.2,93,0.23,84,0.18,78,0.04,71,0.07,62,0.15,45,0.12999999999999978,81.54999999999998,20.52382761572509,-0.3548444845876073,92.05000000000001,5.472430904086409,-0.2010075630518464,100,0.26,95,0.13,93,0.16,91,0.15,89,0.08,87,0.04,81,0.18,92.06000000000002,6.451077429391155,-0.4380038626020896,-10.450000000000017,14.463466366916972,0.04049309227082187,-10.510000000000034,14.072750186333934,0.08315937801448231
